text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
 ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
في تاسع عشر جمادى الأول سنة خمسة وأربعين وتسعماية,19,,5.0,945,"['في', 'تاسع', 'عشر', 'جمادى', 'الاول', 'سنة', 'خمسة', 'واربعين', 'وتسعماية']",True,True,False,19.0,5,,"<re.Match object; span=(0, 28), match=' في تاسع عشر جمادى الاول سنة'>"
أوسط شهر صفر الخير سنة ثمان بعد ألف من الهجرة النبوية,,,2.0,1008,"['اوسط', 'شهر', 'صفر', 'الخير', 'سنة', 'ثمان', 'بعد', 'الف', 'من', 'الهجرة', 'النبوية']",True,True,False,,2,8.0,"<re.Match object; span=(0, 28), match=' اوسط شهر صفر الخير سنة ثمان'>"
تاسع عشري جمادى الآخرة سنة ثلث وستين وثمانماية,19,,6.0,863,"['تاسع', 'عشري', 'جمادى', 'الاخرة', 'سنة', 'ثلث', 'وستين', 'وثمانماية']",True,True,False,19.0,6,,"<re.Match object; span=(0, 27), match=' تاسع عشري جمادى الاخرة سنة'>"
اثنتين وتسعين وستمائة,,,,692,"['اثنتين', 'وتسعين', 'وستمائة']",False,False,False,,,,
سابع عشر جمادى الآخرة سنة ثمان و ثمانين و ثمانماية,17,,6.0,888,"['سابع', 'عشر', 'جمادى', 'الاخرة', 'سنة', 'ثمان', 'و', 'ثمانين', 'و', 'ثمانماية']",True,True,False,17.0,6,8.0,"<re.Match object; span=(0, 31), match=' سابع عشر جمادى الاخرة سنة ثمان'>"
"يوم الأربعاء رابع عشري شهر جمادى [....]
ثمان ماية",14,Yawm al-arba'a,5.0,800- 899,"['يوم', 'الاربعاء', 'رابع', 'عشري', 'شهر', 'جمادى', '.', '.', '.', '.', 'ثمان', 'ماية']",False,False,False,,,,
ثلاث وثمانين [وستمائة,,,,683,"['ثلاث', 'وثمانين', 'وستمائة']",False,False,False,,,,
في صفر ثمانين وخمس ماية,,,2.0,580,"['في', 'صفر', 'ثمانين', 'وخمس', 'ماية']",False,False,False,,,,
عشرون من شهر رمضان المعظم [...] وستماية,20,,9.0,600- 655,"['عشرون', 'من', 'شهر', 'رمضان', 'المعظم', '.', '.', '.', 'وستماية']",False,False,False,,,,
يوم الخميس الثالث والعشرين من ذي القعدة سنت [كذا في الأصل] سبع وأربعين وخمس ماية,23,Yawm al-khamis,11.0,547,"['يوم', 'الخميس', 'الثالث', 'والعشرين', 'من', 'ذي', 'القعدة', 'سنت', 'كذا', 'في', 'الاصل', 'سبع', 'واربعين', 'وخمس', 'ماية']",False,False,False,,,,
سبع وسبعين وخمس ماية,,,,577,"['سبع', 'وسبعين', 'وخمس', 'ماية']",False,False,False,,,,
يوم الجمعة في العشر الأخير من ,21- 30,Yawm al-juma,,,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخير', 'من']",False,False,False,,,,
ليلة الثلاثىن من شهر رمضان سنة ثلاثة عشر بعد المايتين اللتين بعد الألف من الهجرة,30,,9.0,1213,"['ليلة', 'الثلاثىن', 'من', 'شهر', 'رمضان', 'سنة', 'ثلاثة', 'عشر', 'بعد', 'المايتين', 'اللتين', 'بعد', 'الالف', 'من', 'الهجرة']",False,True,False,,9,,"<re.Match object; span=(0, 31), match=' ليلة الثلاثىن من شهر رمضان سنة'>"
سادس شهر رجب الفرد من شهور سنة سبعة وثلاثين وثماني ماية,6,,7.0,837,"['سادس', 'شهر', 'رجب', 'الفرد', 'من', 'شهور', 'سنة', 'سبعة', 'وثلاثين', 'وثماني', 'ماية']",True,True,False,6.0,7,,"<re.Match object; span=(0, 31), match=' سادس شهر رجب الفرد من شهور سنة'>"
سابع عشر جماد[ى] الأول سنة سبعة وثلاثين وثمانمية,17,,5.0,837,"['سابع', 'عشر', 'جمادى', 'الاول', 'سنة', 'سبعة', 'وثلاثين', 'وثمانمية']",True,True,False,17.0,5,,"<re.Match object; span=(0, 25), match=' سابع عشر جمادى الاول سنة'>"
رابع عشر جماد[ى] آخر سنة سبعة وثلاثين وثمانماية,14,,6.0,837,"['رابع', 'عشر', 'جمادى', 'اخر', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,End of,,"<re.Match object; span=(0, 23), match=' رابع عشر جمادى اخر سنة'>"
خامس عشر جماد[ى] آخر سنة سبعة وثلاثين وثمانماية,15,,6.0,837,"['خامس', 'عشر', 'جمادى', 'اخر', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,End of,,"<re.Match object; span=(0, 23), match=' خامس عشر جمادى اخر سنة'>"
 يوم السبت ثالث عشري جماد[ى] أول من شهور سنة سبعة وثلاثين وثمانماية,23,Yawm al-sabt,5.0,837,"['يوم', 'السبت', 'ثالث', 'عشري', 'جمادى', 'اول', 'من', 'شهور', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,,,"<re.Match object; span=(0, 42), match=' يوم السبت ثالث عشري جمادى اول من شهور سنة'>"
يوم السبت حادي عشر ربيع الآخرة عام ألف,11,Yawm al-sabt,4.0,1000,"['يوم', 'السبت', 'حادي', 'عشر', 'ربيع', 'الاخرة', 'عام', 'الف']",False,False,False,,,,"<re.Match object; span=(0, 35), match=' يوم السبت حادي عشر ربيع الاخرة عام'>"
سلخ رجب أشهر تاريخه,25- 30,,7.0,,"['سلخ', 'رجب', 'اشهر', 'تاريخه']",False,False,False,,,,
خمس وثلاثين وستمية,,,5.0,635,"['خمس', 'وثلاثين', 'وستمية']",False,False,False,,,,
 يوم الاحد يوم عرفة عشر [شهر] الله سنة كتبه من سنة خمس وست ماية,10,Yawm al-ahad,12.0,605,"['يوم', 'الاحد', 'يوم', 'عرفة', 'عشر', 'شهر', 'الله', 'سنة', 'كتبه', 'من', 'سنة', 'خمس', 'وست', 'ماية']",False,False,False,,,,"<re.Match object; span=(0, 36), match=' يوم الاحد يوم عرفة عشر شهر الله سنة'>"
يوم الأحد الثاني والعشرين من ربيع الآخر سنة ست وثلاثين وخمساية,22,Yawm al-ahad,4.0,536,"['يوم', 'الاحد', 'الثاني', 'والعشرين', 'من', 'ربيع', 'الاخر', 'سنة', 'ست', 'وثلاثين', 'وخمساية']",True,True,False,22.0,4,36.0,"<re.Match object; span=(0, 55), match=' يوم الاحد الثاني والعشرين من ربيع الاخر سنة ست و>"
خمس وست ماية,9,,12.0,605,"['خمس', 'وست', 'ماية']",False,False,False,,,,
جمادى الأولى سنة خمس ماية,,,5.0,500,"['جمادى', 'الاولى', 'سنة', 'خمس', 'ماية']",True,True,False,,5,105.0,"<re.Match object; span=(0, 26), match=' جمادى الاولى سنة خمس ماية'>"
ذي القعدة لعام تسعة وعشرين وستمائة,,,11.0,629,"['ذي', 'القعدة', 'لعام', 'تسعة', 'وعشرين', 'وستمائة']",False,False,False,,,,
في ليلة الأحد المسفر صبحها عن ثاني عشر شوال عام أربعة وعشرين وسبعماية,12,Yawm al-ahad,10.0,724,"['في', 'ليلة', 'الاحد', 'المسفر', 'صبحها', 'عن', 'ثاني', 'عشر', 'شوال', 'عام', 'اربعة', 'وعشرين', 'وسبعماية']",True,True,False,12.0,10,,"<re.Match object; span=(0, 48), match=' في ليلة الاحد المسفر صبحها عن ثاني عشر شوال عام'>"
ليلة الخميس تاسع عشرين ربيع الآخر عام تسعة وعشرين وسبعماية,29,Yawm al-khamis,4.0,729,"['ليلة', 'الخميس', 'تاسع', 'عشرين', 'ربيع', 'الاخر', 'عام', 'تسعة', 'وعشرين', 'وسبعماية']",True,True,False,29.0,4,,"<re.Match object; span=(0, 38), match=' ليلة الخميس تاسع عشرين ربيع الاخر عام'>"
ليلة السبت سلخ شوال عام ستة عشر وسبعماية,27- 30,Yawm al-sabt,10.0,716,"['ليلة', 'السبت', 'سلخ', 'شوال', 'عام', 'ستة', 'عشر', 'وسبعماية']",,True,False,,10,,"<re.Match object; span=(0, 24), match=' ليلة السبت سلخ شوال عام'>"
يوم السبت الرابع والعشرين من شهر جمادى الأولى خمس وثلاثين وسبعماية,24,Yawm al-sabt,5.0,735,"['يوم', 'السبت', 'الرابع', 'والعشرين', 'من', 'شهر', 'جمادى', 'الاولى', 'خمس', 'وثلاثين', 'وسبعماية']",False,False,False,,,,
سبع عشرة وخمس مائة,,,,517,"['سبع', 'عشرة', 'وخمس', 'مائة']",False,False,False,,,,
 يوم الأربعاء السابع من جمادى الآخرة سنة أربع وثلاثين وخمس ومائة,7,Yawm al-arba'a,6.0,534,"['يوم', 'الاربعاء', 'السابع', 'من', 'جمادى', 'الاخرة', 'سنة', 'اربع', 'وثلاثين', 'وخمس', 'ومائة']",True,True,False,7.0,6,34.0,"<re.Match object; span=(0, 53), match=' يوم الاربعاء السابع من جمادى الاخرة سنة اربع وثل>"
السادس من ذي القعدة سنة خمس وسبعين وخمس,6,,11.0,575,"['السادس', 'من', 'ذي', 'القعدة', 'سنة', 'خمس', 'وسبعين', 'وخمس']",True,True,False,6.0,11,75.0,"<re.Match object; span=(0, 35), match=' السادس من ذي القعدة سنة خمس وسبعين'>"
ثلاث وأربعين وستمائة,,,,643,"['ثلاث', 'واربعين', 'وستمائة']",False,False,False,,,,
يوم الخميس لتسع خلون من ربيع الآخر عام ثمانية وسبعمائة,9,Yawm al-khamis,4.0,708,"['يوم', 'الخميس', 'لتسع', 'خلون', 'من', 'ربيع', 'الاخر', 'عام', 'ثمانية', 'وسبعمائة']",False,True,False,,4,,"<re.Match object; span=(0, 39), match=' يوم الخميس لتسع خلون من ربيع الاخر عام'>"
ذي القعدة من السنة,,,11.0,678,"['ذي', 'القعدة', 'من', 'السنة']",False,False,False,,,,
من شهر رجب عام أربعة وعشرين وسبعمئة,,,7.0,724,"['من', 'شهر', 'رجب', 'عام', 'اربعة', 'وعشرين', 'وسبعمئة']",True,True,False,,7,,"<re.Match object; span=(0, 15), match=' من شهر رجب عام'>"
يوم الجمعة رابع شهر رمضان من سنة ستة وعشرين وستمائة,4,Yawm al-juma,9.0,626,"['يوم', 'الجمعة', 'رابع', 'شهر', 'رمضان', 'من', 'سنة', 'ستة', 'وعشرين', 'وستمائة']",True,True,False,4.0,9,,"<re.Match object; span=(0, 33), match=' يوم الجمعة رابع شهر رمضان من سنة'>"
 سادس عشر ربيع الآخر سنة ثمانية وستين وستمائة,16,,4.0,668,"['سادس', 'عشر', 'ربيع', 'الاخر', 'سنة', 'ثمانية', 'وستين', 'وستمائة']",True,True,False,16.0,4,,"<re.Match object; span=(0, 24), match=' سادس عشر ربيع الاخر سنة'>"
يوم الاثنين سلخ ذي الحجة سنة سبع وثمانين وستمئة,27- 30,Yawm al-ithnayn,12.0,678,"['يوم', 'الاثنين', 'سلخ', 'ذي', 'الحجة', 'سنة', 'سبع', 'وثمانين', 'وستمئة']",,True,False,,12,687.0,"<re.Match object; span=(0, 48), match=' يوم الاثنين سلخ ذي الحجة سنة سبع وثمانين وستمئة'>"
 يوم الجمعة سادس عشرين شهر شعبان من سنة ستة عشرين وستمائة,26,Yawm al-juma,8.0,626,"['يوم', 'الجمعة', 'سادس', 'عشرين', 'شهر', 'شعبان', 'من', 'سنة', 'ستة', 'عشرين', 'وستمائة']",True,True,False,26.0,8,,"<re.Match object; span=(0, 39), match=' يوم الجمعة سادس عشرين شهر شعبان من سنة'>"
في العشر الأواخر من جمادى الآخر [...] وستمائة,21- 30,,6.0,600- 603؟,"['في', 'العشر', 'الاواخر', 'من', 'جمادى', 'الاخر', '.', '.', '.', 'وستمائة']",False,False,False,,,,
ي ست وخمسين وخمسماية,,,,556,"['ي', 'ست', 'وخمسين', 'وخمسماية']",False,False,False,,,,
في بعض شهور سنتي سبع وثمان وثلاثين وخمسمائة,,,,537- 538,"['في', 'بعض', 'شهور', 'سنتي', 'سبع', 'وثمان', 'وثلاثين', 'وخمسمائة']",False,False,False,,,,
ثمان وثمانين خمس ماية,,,,588,"['ثمان', 'وثمانين', 'خمس', 'ماية']",False,False,False,,,,
الخامس عشر من جمادى الآخرة [.......................وخمسماية,15,,6.0,590- 599؟,"['الخامس', 'عشر', 'من', 'جمادى', 'الاخرة', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'وخمسماية']",False,False,False,,,,
م الخميس خامس عشرين [...] من سنة تسعين,25,,,670,"['م', 'الخميس', 'خامس', 'عشرين', '.', '.', '.', 'من', 'سنة', 'تسعين']",False,True,False,,,90.0,"<re.Match object; span=(26, 39), match=' من سنة تسعين'>"
يوم الثلاثاء ثالث شعبان إحدى وسبعين وسبعماية,3,Yawm al-thalatha,8.0,771,"['يوم', 'الثلاثاء', 'ثالث', 'شعبان', 'احدى', 'وسبعين', 'وسبعماية']",False,False,False,,,,
الثاني والعشرين من شهر رمضان لسنة ثلا[ثين] وتسعماية,22,,9.0,930,"['الثاني', 'والعشرين', 'من', 'شهر', 'رمضان', 'لسنة', 'ثلاثين', 'وتسعماية']",False,False,False,,,,
 ذلك في يوم الجمعة ثالث شوال المبارك,3,Yawm al-juma,10.0,868,"['ذلك', 'في', 'يوم', 'الجمعة', 'ثالث', 'شوال', 'المبارك']",False,False,False,,,,
يوم السبت سابع عشر شهر رجب,17,Yawm al-sabt,7.0,؟,"['يوم', 'السبت', 'سابع', 'عشر', 'شهر', 'رجب']",False,False,False,,,,
رجب سنة ثمان وسبعين وخمس,,,7.0,578,"['رجب', 'سنة', 'ثمان', 'وسبعين', 'وخمس']",True,True,False,,7,78.0,"<re.Match object; span=(0, 20), match=' رجب سنة ثمان وسبعين'>"
يوم الخميس التاسع والعشرين من ربيع الثاني وهو ختامه من شهور سنة إحدى وسبعين ومائتين وألف,29,,4.0,1271,"['يوم', 'الخميس', 'التاسع', 'والعشرين', 'من', 'ربيع', 'الثاني', 'وهو', 'ختامه', 'من', 'شهور', 'سنة', 'احدى', 'وسبعين', 'ومائتين', 'والف']",False,False,False,,,271.0,"<re.Match object; span=(0, 84), match=' يوم الخميس التاسع والعشرين من ربيع الثاني وهو خت>"
نهار الأحد السابع والعشرين من شهر جمادى الآخرة سنة سبع عشرة بعد المائتين والألف,27,Yawm al-ahad,6.0,1217,"['نهار', 'الاحد', 'السابع', 'والعشرين', 'من', 'شهر', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'عشرة', 'بعد', 'المائتين', 'والالف']",True,True,False,27.0,6,17.0,"<re.Match object; span=(0, 60), match=' نهار الاحد السابع والعشرين من شهر جمادى الاخرة س>"
اثنتي عشرة وستمائة.,,,,612,"['اثنتي', 'عشرة', 'وستمائة', '.']",False,False,False,,,,
يوم السبت الثالث عشر من ربيع الأول سنة اثنتين وأربعين[وخمسمائة,13,Yawm al-sabt,3.0,542,"['يوم', 'السبت', 'الثالث', 'عشر', 'من', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'واربعينوخمسمائة']",True,True,False,13.0,3,2.0,"<re.Match object; span=(0, 46), match=' يوم السبت الثالث عشر من ربيع الاول سنة اثنتين'>"
في يوم الاثنين عشرين شهر ربيع الثاني سنة ألف وماية وأربع وأربعين,20,Yawm al-ithnayn,4.0,1144,"['في', 'يوم', 'الاثنين', 'عشرين', 'شهر', 'ربيع', 'الثاني', 'سنة', 'الف', 'وماية', 'واربع', 'واربعين']",True,True,False,20.0,4,,"<re.Match object; span=(0, 41), match=' في يوم الاثنين عشرين شهر ربيع الثاني سنة'>"
في يوم الخميس الثاني عشر من المحرم سنة ثلاث وعشرين [و] سبعمائة,12,Yawm al-khamis,1.0,723,"['في', 'يوم', 'الخميس', 'الثاني', 'عشر', 'من', 'المحرم', 'سنة', 'ثلاث', 'وعشرين', 'و', 'سبعمائة']",True,True,False,12.0,1,23.0,"<re.Match object; span=(0, 51), match=' في يوم الخميس الثاني عشر من المحرم سنة ثلاث وعشر>"
في مستهل رجب المبارك يوم الثلاثاء سنة اثنتين و ستين وستمائة,1-3,,7.0,662,"['في', 'مستهل', 'رجب', 'المبارك', 'يوم', 'الثلاثاء', 'سنة', 'اثنتين', 'و', 'ستين', 'وستمائة']",,False,False,,,2.0,"<re.Match object; span=(0, 45), match=' في مستهل رجب المبارك يوم الثلاثاء سنة اثنتين'>"
ر، وذلك يوم السبت سلخ جمادي الآخر سنة ثمان وسبعين ,27- 30,Yawm al-sabt,6.0,578,"['ر', '،', 'وذلك', 'يوم', 'السبت', 'سلخ', 'جمادي', 'الاخر', 'سنة', 'ثمان', 'وسبعين']",,False,False,,End of,78.0,"<re.Match object; span=(4, 51), match=' وذلك يوم السبت سلخ جمادي الاخر سنة ثمان وسبعين'>"
 في شوال تسع عشرة وخمس مائة,,,10.0,519,"['في', 'شوال', 'تسع', 'عشرة', 'وخمس', 'مائة']",False,False,False,,,,
مستهل شهر ربيع الأول سنة عشرين وخمس مائة,1-3,,3.0,526,"['مستهل', 'شهر', 'ربيع', 'الاول', 'سنة', 'عشرين', 'وخمس', 'مائة']",,True,False,,3,520.0,"<re.Match object; span=(0, 41), match=' مستهل شهر ربيع الاول سنة عشرين وخمس مائة'>"
يوم الثلاثاء حادي عشري ربيع الأول عام ستة وثمانين وستمائة,21,Yawm al-thalatha,3.0,686,"['يوم', 'الثلاثاء', 'حادي', 'عشري', 'ربيع', 'الاول', 'عام', 'ستة', 'وثمانين', 'وستمائة']",False,True,False,11.0,3,,"<re.Match object; span=(0, 38), match=' يوم الثلاثاء حادي عشري ربيع الاول عام'>"
في يوم الجمعة تاسع عشر ذو القعدة من سنة أربعين وخمسائة,19,Yawm al-juma,11.0,540,"['في', 'يوم', 'الجمعة', 'تاسع', 'عشر', 'ذو', 'القعدة', 'من', 'سنة', 'اربعين', 'وخمسائة']",True,True,False,19.0,11,40.0,"<re.Match object; span=(0, 47), match=' في يوم الجمعة تاسع عشر ذو القعدة من سنة اربعين'>"
ليلة الخميس المسفر صباحها عن حادي عشر ربيع الأول سبع وثمانين وثمانمائة,11,Yawm al-khamis,3.0,887,"['ليلة', 'الخميس', 'المسفر', 'صباحها', 'عن', 'حادي', 'عشر', 'ربيع', 'الاول', 'سبع', 'وثمانين', 'وثمانمائة']",False,False,False,,,,
يوم السبت سابع ذي [الـ]ـحجة عام خمسة وسبعين وسبع مائة,7,Yawm al-sabt,12.0,775,"['يوم', 'السبت', 'سابع', 'ذي', 'الحجة', 'عام', 'خمسة', 'وسبعين', 'وسبع', 'مائة']",True,True,False,7.0,12,,"<re.Match object; span=(0, 28), match=' يوم السبت سابع ذي الحجة عام'>"
... وستمائة ,,,,[686؟],"['.', '.', '.', 'وستمائة']",False,False,False,,,,
يوم الثلاثاء حادي عشر جمادى الأولى عام ستة وعشرين وسبع مائة,11,Yawm al-thalatha,5.0,726,"['يوم', 'الثلاثاء', 'حادي', 'عشر', 'جمادى', 'الاولى', 'عام', 'ستة', 'وعشرين', 'وسبع', 'مائة']",True,True,False,11.0,5,,"<re.Match object; span=(0, 39), match=' يوم الثلاثاء حادي عشر جمادى الاولى عام'>"
مستهل ذي القعدة سنة سبع وأربعين وثمان مائة,1- 3,,11.0,840,"['مستهل', 'ذي', 'القعدة', 'سنة', 'سبع', 'واربعين', 'وثمان', 'مائة']",,True,False,,11,847.0,"<re.Match object; span=(0, 43), match=' مستهل ذي القعدة سنة سبع واربعين وثمان مائة'>"
 المحرم افتتاح شهور سنة ست وتسعين [وثمانمائة],1- 3,,1.0,890,"['المحرم', 'افتتاح', 'شهور', 'سنة', 'ست', 'وتسعين', 'وثمانمائة']",,False,False,,,896.0,"<re.Match object; span=(0, 43), match=' المحرم افتتاح شهور سنة ست وتسعين وثمانمائة'>"
 في صفر من سنة اثنتين وتسعين وأربع,,,2.0,492,"['في', 'صفر', 'من', 'سنة', 'اثنتين', 'وتسعين', 'واربع']",True,True,False,,2,92.0,"<re.Match object; span=(0, 28), match=' في صفر من سنة اثنتين وتسعين'>"
في صفر من سنة ثلاث وثلاثين وخمسائة,,,2.0,533,"['في', 'صفر', 'من', 'سنة', 'ثلاث', 'وثلاثين', 'وخمسائة']",True,True,False,,2,33.0,"<re.Match object; span=(0, 27), match=' في صفر من سنة ثلاث وثلاثين'>"
يوم الجمعة سابع [صفر] من سنة أربع عشرة وخمس مائة,514,Yawm al-juma,2.0,,"['يوم', 'الجمعة', 'سابع', 'صفر', 'من', 'سنة', 'اربع', 'عشرة', 'وخمس', 'مائة']",False,True,False,7.0,2,514.0,"<re.Match object; span=(0, 47), match=' يوم الجمعة سابع صفر من سنة اربع عشرة وخمس مائة'>"
الخامس عشر من رجب الفرد في شهور سنة ثمان وسبعين وألف,15,,7.0,1078,"['الخامس', 'عشر', 'من', 'رجب', 'الفرد', 'في', 'شهور', 'سنة', 'ثمان', 'وسبعين', 'والف']",True,True,False,15.0,7,78.0,"<re.Match object; span=(0, 48), match=' الخامس عشر من رجب الفرد في شهور سنة ثمان وسبعين'>"
ذي [...] [سبع وسبعين] وأربعمائة,,,,477,"['ذي', '.', '.', '.', 'سبع', 'وسبعين', 'واربعمائة']",False,False,False,,,,
يوم السبت حادي وعشرين ذي الحجة [...] ستمائة,21,Yawm al-sabt,12.0,؟؟6,"['يوم', 'السبت', 'حادي', 'وعشرين', 'ذي', 'الحجة', '.', '.', '.', 'ستمائة']",False,False,False,,,,
في شهر رجب,,,7.0,609,"['في', 'شهر', 'رجب']",False,False,False,,,,
يوم السبت ثامن رجب من سنة ثلاثة عشر وستمائة,8,Yawm al-sabt,7.0,613,"['يوم', 'السبت', 'ثامن', 'رجب', 'من', 'سنة', 'ثلاثة', 'عشر', 'وستمائة']",True,True,False,8.0,7,,"<re.Match object; span=(0, 26), match=' يوم السبت ثامن رجب من سنة'>"
حادي عشر ربيع الآخر سنة اثنتين وعشرسن وستمائة,11,,4.0,622,"['حادي', 'عشر', 'ربيع', 'الاخر', 'سنة', 'اثنتين', 'وعشرسن', 'وستمائة']",True,True,False,11.0,4,2.0,"<re.Match object; span=(0, 31), match=' حادي عشر ربيع الاخر سنة اثنتين'>"
الثالث عشر من رجب سنة سنة إحدى عشرة وستمائة,13,,7.0,611,"['الثالث', 'عشر', 'من', 'رجب', 'سنة', 'سنة', 'احدى', 'عشرة', 'وستمائة']",True,True,False,13.0,7,,"<re.Match object; span=(0, 22), match=' الثالث عشر من رجب سنة'>"
السادس عشر من صفر سنة خمس مائة وتسعين,16,,2.0,590,"['السادس', 'عشر', 'من', 'صفر', 'سنة', 'خمس', 'مائة', 'وتسعين']",True,True,False,16.0,2,105.0,"<re.Match object; span=(0, 31), match=' السادس عشر من صفر سنة خمس مائة'>"
في الخامس من شهر ربيع الآخر سنة لثنتين وثمانين وستمائة,5,,4.0,682,"['في', 'الخامس', 'من', 'شهر', 'ربيع', 'الاخر', 'سنة', 'لثنتين', 'وثمانين', 'وستمائة']",True,True,False,5.0,4,,"<re.Match object; span=(0, 32), match=' في الخامس من شهر ربيع الاخر سنة'>"
يوم الاثنين سابع شهر رمضان لسنة أربع وثلاثين وستمائة,7,Yawm al-ithnayn,9.0,634,"['يوم', 'الاثنين', 'سابع', 'شهر', 'رمضان', 'لسنة', 'اربع', 'وثلاثين', 'وستمائة']",False,False,False,,,,
يوم الاثنين لست ليال بقين من صفر سنة ثلاثة عشرة وستمائة,23,Yawm al-ithnayn,2.0,613,"['يوم', 'الاثنين', 'لست', 'ليال', 'بقين', 'من', 'صفر', 'سنة', 'ثلاثة', 'عشرة', 'وستمائة']",False,True,False,,2,,"<re.Match object; span=(0, 37), match=' يوم الاثنين لست ليال بقين من صفر سنة'>"
يوم الأربعاء الموفى عشرين شهر ربيع الآخر عام ثلاثة وعشرين وسبعمائة,20,Yawm al-arba'a,4.0,723,"['يوم', 'الاربعاء', 'الموفى', 'عشرين', 'شهر', 'ربيع', 'الاخر', 'عام', 'ثلاثة', 'وعشرين', 'وسبعمائة']",True,True,False,20.0,4,,"<re.Match object; span=(0, 45), match=' يوم الاربعاء الموفى عشرين شهر ربيع الاخر عام'>"
يوم الثلاثاء ثاني رجب الفرد من سنة ثلاثة عشرة وسبعمائة,2,Yawm al-thalatha,7.0,713,"['يوم', 'الثلاثاء', 'ثاني', 'رجب', 'الفرد', 'من', 'سنة', 'ثلاثة', 'عشرة', 'وسبعمائة']",True,True,False,2.0,7,,"<re.Match object; span=(0, 35), match=' يوم الثلاثاء ثاني رجب الفرد من سنة'>"
 آخرهما يوم الجمعة رابع عشر ربيع الآخر سنة [إحدى] وتسعي,14,Yawm al-juma,4.0,691,"['اخرهما', 'يوم', 'الجمعة', 'رابع', 'عشر', 'ربيع', 'الاخر', 'سنة', 'احدى', 'وتسعي']",True,True,False,14.0,4,1.0,"<re.Match object; span=(0, 47), match=' اخرهما يوم الجمعة رابع عشر ربيع الاخر سنة احدى'>"
