"placeLabel","toponyms","typeLabel","geometry","cornuData"
"الهاروني","الهاروني، طرستان","towns","POINT (45.01502 33.97686)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Hārūniyya, Ṭarastān', 'cornu_URI': 'HARUNIYYA_450E339N_S', 'toponym_arabic': 'الهاروني', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Haruniyya, Tarastan', 'toponym_arabic_other': 'الهاروني، طرستان', 'toponym_translit': 'al-Hārūniyya', 'coord_lat': '33.97686', 'toponym_search': 'al-Haruniyya, Tarastan', 'region_code': 'Iraq', 'coord_lon': '45.01502', 'region_spelled': 'al-ʿIrāq', 'top_type_hom': 'towns'}"
"بلنسية","بلنسية","regions","POINT (-0.41486 39.43516)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Balansiyyaŧ', 'cornu_URI': 'BALANSIYYA_004W394N_R', 'toponym_arabic': 'بلنسية', 'top_type_orig': 'district', 'toponym_buckwalter': 'Balansiyya', 'toponym_arabic_other': 'بلنسية', 'toponym_translit': 'Balansiyyaŧ', 'coord_lat': '39.43516', 'toponym_search': 'Balansiyya', 'region_code': 'Andalus', 'coord_lon': '-0.41486', 'region_spelled': 'al-Andalus (Spain)', 'top_type_hom': 'regions'}"
"نهر شاش","نهر شاش، صيحون","waters","POINT (71.95478 40.94221)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nahr Šāš, Ṣayḥūn', 'cornu_URI': 'NAHRSHASH_719E409N_W', 'toponym_arabic': 'نهر شاش', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Nahr Shash, Sayhun', 'toponym_arabic_other': 'نهر شاش، صيحون', 'toponym_translit': 'Nahr Šāš', 'coord_lat': '40.94221', 'toponym_search': 'Nahr Shash, Sayhun', 'region_code': 'Transoxiana', 'coord_lon': '71.95478', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'waters'}"
"مرو الروذ","مرو الروذ","capitals","POINT (63.3667 35.5925)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Marw al-Rūḏ', 'cornu_URI': 'MARWRUDH_633E355N_S', 'toponym_arabic': 'مرو الروذ', 'top_type_orig': 'capitale', 'toponym_buckwalter': 'Marw al-Rudh', 'toponym_arabic_other': 'مرو الروذ', 'toponym_translit': 'Marw al-Rūḏ', 'coord_lat': '35.59250', 'toponym_search': 'Marw al-Rudh', 'region_code': 'Khurasan', 'coord_lon': '63.36670', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'capitals'}"
"نهر جيحون","نهر جيحون","waters","POINT (63.09182 39.3967)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nahr Ǧayḥūn', 'cornu_URI': 'NAHRJAYHUN_630E393N_W', 'toponym_arabic': 'نهر جيحون', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Nahr Jayhun', 'toponym_arabic_other': 'نهر جيحون', 'toponym_translit': 'Nahr Ǧayḥūn', 'coord_lat': '39.39670', 'toponym_search': 'Nahr Jayhun', 'region_code': 'Transoxiana', 'coord_lon': '63.09182', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'waters'}"
"سعيداباذ","سعيداباذ","towns","POINT (51.35722 36.39749)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Saʿīdābāḏ', 'cornu_URI': 'SAIDABADH_513E363N_S', 'toponym_arabic': 'سعيداباذ', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Saidabadh', 'toponym_arabic_other': 'سعيداباذ', 'toponym_translit': 'Saʿīdābāḏ', 'coord_lat': '36.39749', 'toponym_search': 'Saidabadh', 'region_code': 'Daylam', 'coord_lon': '51.35722', 'region_spelled': 'al-Daylam', 'top_type_hom': 'towns'}"
"كهنروذ","كهنروذ","waystations","POINT (49.00372 37.79153)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Kuhanrūḏ', 'cornu_URI': 'KUHANRUDH_490E377N_S', 'toponym_arabic': 'كهنروذ', 'top_type_orig': 'port/etape', 'toponym_buckwalter': 'Kuhanrudh', 'toponym_arabic_other': 'كهنروذ', 'toponym_translit': 'Kuhanrūḏ', 'coord_lat': '37.79153', 'toponym_search': 'Kuhanrudh', 'region_code': 'Daylam', 'coord_lon': '49.00372', 'region_spelled': 'al-Daylam', 'top_type_hom': 'waystations'}"
"رباط تاش","رباط تاش","waystations","POINT (63.82036 39.99849)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ribāṭ Tāš', 'cornu_URI': 'RIBATTASH_638E399N_S', 'toponym_arabic': 'رباط تاش', 'top_type_orig': 'ribat', 'toponym_buckwalter': 'Ribat Tash', 'toponym_arabic_other': 'رباط تاش', 'toponym_translit': 'Ribāṭ Tāš', 'coord_lat': '39.99849', 'toponym_search': 'Ribat Tash', 'region_code': 'Transoxiana', 'coord_lon': '63.82036', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'waystations'}"
"مندم","مندم، بندم","waystations","POINT (48.881 31.02269)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mandam, Bandam', 'cornu_URI': 'MANDAM_488E310N_S', 'toponym_arabic': 'مندم', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Mandam, Bandam', 'toponym_arabic_other': 'مندم، بندم', 'toponym_translit': 'Mandam', 'coord_lat': '31.02269', 'toponym_search': 'Mandam, Bandam', 'region_code': 'Khuzistan', 'coord_lon': '48.88100', 'region_spelled': 'Ḫūzistān (al-Ahwāz)', 'top_type_hom': 'waystations'}"
"سنهور","سنهور","towns","POINT (30.70832 31.16283)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sanhūr', 'cornu_URI': 'SANHUR_307E311N_S', 'toponym_arabic': 'سنهور', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sanhur', 'toponym_arabic_other': 'سنهور', 'toponym_translit': 'Sanhūr', 'coord_lat': '31.16283', 'toponym_search': 'Sanhur', 'region_code': 'Egypt', 'coord_lon': '30.70832', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"العقير","العقير","towns","POINT (50.22312 25.5589)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-ʿUqayr', 'cornu_URI': 'UQAYR_502E255N_S', 'toponym_arabic': 'العقير', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Uqayr', 'toponym_arabic_other': 'العقير', 'toponym_translit': 'al-ʿUqayr', 'coord_lat': '25.55890', 'toponym_search': 'al-Uqayr', 'region_code': 'Jazirat al-Arab', 'coord_lon': '50.22312', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'towns'}"
"شلنبة","شلنبة","towns","POINT (52.04723 35.68449)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Šalanbaŧ', 'cornu_URI': 'SHALANBA_520E356N_S', 'toponym_arabic': 'شلنبة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Shalanba', 'toponym_arabic_other': 'شلنبة', 'toponym_translit': 'Šalanbaŧ', 'coord_lat': '35.68449', 'toponym_search': 'Shalanba', 'region_code': 'Daylam', 'coord_lon': '52.04723', 'region_spelled': 'al-Daylam', 'top_type_hom': 'towns'}"
"نهر اسبيذروذ","نهر اسبيذروذ، نهر سبيذروذ","waters","POINT (48.8394 36.97532)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nahr Isbīḏrūḏ, Nahr Sabīḏrūḏ', 'cornu_URI': 'NAHRISBIDHRUDH_488E369N_W', 'toponym_arabic': 'نهر إسبيذروذ', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Nahr Isbidhrudh, Nahr Sabidhrudh', 'toponym_arabic_other': 'نهر إسبيذروذ، نهر سبيذروذ', 'toponym_translit': 'Nahr Isbīḏrūḏ', 'coord_lat': '36.97532', 'toponym_search': 'Nahr Isbidhrudh, Nahr Sabidhrudh', 'region_code': 'Daylam', 'coord_lon': '48.83940', 'region_spelled': 'al-Daylam', 'top_type_hom': 'waters'}"
"جرندة","جرندة","towns","POINT (2.84472 41.93607)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ǧirundaŧ', 'cornu_URI': 'JIRUNDA_028E419N_S', 'toponym_arabic': 'جرندة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Jirunda', 'toponym_arabic_other': 'جرندة', 'toponym_translit': 'Ǧirundaŧ', 'coord_lat': '41.93607', 'toponym_search': 'Jirunda', 'region_code': 'Andalus', 'coord_lon': '2.84472', 'region_spelled': 'al-Andalus (Spain)', 'top_type_hom': 'towns'}"
"قبيشة","قبيشة","regions","POINT (10.68123 34.83148)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Qabīšaŧ', 'cornu_URI': 'QABISHA_106E348N_R', 'toponym_arabic': 'قبيشة', 'top_type_orig': 'region', 'toponym_buckwalter': 'Qabisha', 'toponym_arabic_other': 'قبيشة', 'toponym_translit': 'Qabīšaŧ', 'coord_lat': '34.83148', 'toponym_search': 'Qabisha', 'region_code': 'Maghrib', 'coord_lon': '10.68123', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'regions'}"
"ماراباذ","ماراباذ","towns","POINT (63.00426 34.3371)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mārābāḏ', 'cornu_URI': 'MARABADH_630E343N_S', 'toponym_arabic': 'ماراباذ', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Marabadh', 'toponym_arabic_other': 'ماراباذ', 'toponym_translit': 'Mārābāḏ', 'coord_lat': '34.33710', 'toponym_search': 'Marabadh', 'region_code': 'Khurasan', 'coord_lon': '63.00426', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"طميشة","طميشة، طميسة","towns","POINT (54.05573 36.7312)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṭamīšaŧ, Ṭamīsaŧ', 'cornu_URI': 'TAMISHA_540E367N_S', 'toponym_arabic': 'طميشة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Tamisha, Tamisa', 'toponym_arabic_other': 'طميشة، طميسة', 'toponym_translit': 'Ṭamīšaŧ', 'coord_lat': '36.73120', 'toponym_search': 'Tamisha, Tamisa', 'region_code': 'Daylam', 'coord_lon': '54.05573', 'region_spelled': 'al-Daylam', 'top_type_hom': 'towns'}"
"خشب","خشب","regions","POINT (44.34672 15.62405)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḫašab', 'cornu_URI': 'KHASHAB_443E156N_R', 'toponym_arabic': 'خشب', 'top_type_orig': 'region', 'toponym_buckwalter': 'Khashab', 'toponym_arabic_other': 'خشب', 'toponym_translit': 'Ḫašab', 'coord_lat': '15.62405', 'toponym_search': 'Khashab', 'region_code': 'Yemen', 'coord_lon': '44.34672', 'region_spelled': 'al-Yaman', 'top_type_hom': 'regions'}"
"رنية","رنية","villages","POINT (42.1041 20.30924)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ranyaŧ', 'cornu_URI': 'RANYA_421E203N_S', 'toponym_arabic': 'رنية', 'top_type_orig': 'village', 'toponym_buckwalter': 'Ranya', 'toponym_arabic_other': 'رنية', 'toponym_translit': 'Ranyaŧ', 'coord_lat': '20.30924', 'toponym_search': 'Ranya', 'region_code': 'Jazirat al-Arab', 'coord_lon': '42.10410', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'villages'}"
"القاء","القاء","waystations","POINT (43.61126 29.78571)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Qāʾ', 'cornu_URI': 'QA_436E297N_S', 'toponym_arabic': 'القاء', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Qa', 'toponym_arabic_other': 'القاء', 'toponym_translit': 'al-Qāʾ', 'coord_lat': '29.78571', 'toponym_search': 'al-Qa', 'region_code': 'Badiyat al-Arab', 'coord_lon': '43.61126', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"ديلمان","ديلمان، الديلم","regions","POINT (50.52548 36.69592)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Daylamān, al-Daylam', 'cornu_URI': 'DAYLAMAN_505E366N_R', 'toponym_arabic': 'ديلمان', 'top_type_orig': 'region', 'toponym_buckwalter': 'Daylaman, al-Daylam', 'toponym_arabic_other': 'ديلمان، الديلم', 'toponym_translit': 'Daylamān', 'coord_lat': '36.69592', 'toponym_search': 'Daylaman, al-Daylam', 'region_code': 'Daylam', 'coord_lon': '50.52548', 'region_spelled': 'al-Daylam', 'top_type_hom': 'regions'}"
"بردسير","بردسير، بردشير، كوشير","regions","POINT (57.10475 30.30962)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bardasīr, Bardašīr, Kuwašīr', 'cornu_URI': 'BARDASIR_571E303N_R', 'toponym_arabic': 'بردسير', 'top_type_orig': 'circon', 'toponym_buckwalter': 'Bardasir, Bardashir, Kuwashir', 'toponym_arabic_other': 'بردسير، بردشير، كوشير', 'toponym_translit': 'Bardasīr', 'coord_lat': '30.30962', 'toponym_search': 'Bardasir, Bardashir, Kuwashir', 'region_code': 'Kirman', 'coord_lon': '57.10475', 'region_spelled': 'Kirmān', 'top_type_hom': 'regions'}"
"ارمابيل","ارمابيل، ارمائيل","villages","POINT (66.38343 26.23769)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Armābīl, Armāʾīl', 'cornu_URI': 'ARMABIL_663E262N_S', 'toponym_arabic': 'أرمابيل', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Armabil, Armail', 'toponym_arabic_other': 'أرمابيل، أرمائيل', 'toponym_translit': 'Armābīl', 'coord_lat': '26.23769', 'toponym_search': 'Armabil, Armail', 'region_code': 'Sind', 'coord_lon': '66.38343', 'region_spelled': 'al-Sind', 'top_type_hom': 'villages'}"
"الحوف الغربي","الحوف الغربي","regions","POINT (30.43738 30.75268)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ḥawf al-Ġarbī', 'cornu_URI': 'HAWFGHARBI_304E307N_R', 'toponym_arabic': 'الحوف الغربي', 'top_type_orig': 'region', 'toponym_buckwalter': 'al-Hawf al-Gharbi', 'toponym_arabic_other': 'الحوف الغربي', 'toponym_translit': 'al-Ḥawf al-Ġarbī', 'coord_lat': '30.75268', 'toponym_search': 'al-Hawf al-Gharbi', 'region_code': 'Egypt', 'coord_lon': '30.43738', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'regions'}"
"داريان","داريان","waystations","POINT (52.92548 29.54062)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Dāriyān', 'cornu_URI': 'DARIYAN_529E295N_S', 'toponym_arabic': 'داريان', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Dariyan', 'toponym_arabic_other': 'داريان', 'toponym_translit': 'Dāriyān', 'coord_lat': '29.54062', 'toponym_search': 'Dariyan', 'region_code': 'Faris', 'coord_lon': '52.92548', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'waystations'}"
"البطلامية","البطلامية، الخربة","waystations","POINT (38.31435 35.52404)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Buṭlāmiyyaŧ, al-Ḫirbaŧ', 'cornu_URI': 'BUTLAMIYYA_383E355N_S', 'toponym_arabic': 'البطلامية', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Butlamiyya, al-Khirba', 'toponym_arabic_other': 'البطلامية، الخربة', 'toponym_translit': 'al-Buṭlāmiyyaŧ', 'coord_lat': '35.52404', 'toponym_search': 'al-Butlamiyya, al-Khirba', 'region_code': 'Sham', 'coord_lon': '38.31435', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'waystations'}"
"خليج الاسكندرية","خليج الاسكندرية","waters","POINT (30.15818 31.10144)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḫalīǧ al-Iskandariyyaŧ', 'cornu_URI': 'KHALIJISKANDARIYYA_301E311N_W', 'toponym_arabic': 'خليج الإسكندرية', 'top_type_orig': 'canal', 'toponym_buckwalter': 'Khalij al-Iskandariyya', 'toponym_arabic_other': 'خليج الإسكندرية', 'toponym_translit': 'Ḫalīǧ al-Iskandariyyaŧ', 'coord_lat': '31.10144', 'toponym_search': 'Khalij al-Iskandariyya', 'region_code': 'Egypt', 'coord_lon': '30.15818', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'waters'}"
"قصر بنو ورداس","قصر بنو ورداس","towns","POINT (-8.48333 38.36698)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Qaṣr Banū Wardās', 'cornu_URI': 'QASRBANUWARDAS_084W383N_S', 'toponym_arabic': 'قصر بنو ورداس', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Qasr Banu Wardas', 'toponym_arabic_other': 'قصر بنو ورداس', 'toponym_translit': 'Qaṣr Banū Wardās', 'coord_lat': '38.36698', 'toponym_search': 'Qasr Banu Wardas', 'region_code': 'Andalus', 'coord_lon': '-8.48333', 'region_spelled': 'al-Andalus (Spain)', 'top_type_hom': 'towns'}"
"محلة ابو خراشة","محلة ابو خراشة","villages","POINT (30.61583 31.02501)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Maḥallaŧ Abū Ḫurāšaŧ', 'cornu_URI': 'MAHALLAABUKHURASHA_306E310N_S', 'toponym_arabic': 'محلة أبو خراشة', 'top_type_orig': 'village', 'toponym_buckwalter': 'Mahalla Abu Khurasha', 'toponym_arabic_other': 'محلة أبو خراشة', 'toponym_translit': 'Maḥallaŧ Abū Ḫurāšaŧ', 'coord_lat': '31.02501', 'toponym_search': 'Mahalla Abu Khurasha', 'region_code': 'Egypt', 'coord_lon': '30.61583', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'villages'}"
"بغلان","بغلان","regions","POINT (68.77093000000001 36.2356)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Baġlān', 'cornu_URI': 'BAGHLAN_687E362N_R', 'toponym_arabic': 'بغلان', 'top_type_orig': 'territoire', 'toponym_buckwalter': 'Baghlan', 'toponym_arabic_other': 'بغلان', 'toponym_translit': 'Baġlān', 'coord_lat': '36.23560', 'toponym_search': 'Baghlan', 'region_code': 'Khurasan', 'coord_lon': '68.77093', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'regions'}"
