,book_id,text,volume,page,book_title,section_title,subsection_title,corrected_id,part_of_multi_ids,entry_type,text_nt
402,," إبراهيم الخنجي . في ابن محمد بن مبارز بن محمد .
",1,186," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'الخنجي', '.', 'في', 'ابن', 'محمد', 'بن', 'مبارز', 'بن', 'محمد', '.']"
404,," إبراهيم الزايرجي نزيل دمياط . مات في إبراهيم الزرعي الدمشقي . مضى
 قريبا في الملقبين ببرهان الدين . * .
",1,186," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'الزايرجي', 'نزيل', 'دمياط', '.', 'مات', 'في', 'ابراهيم', 'الزرعي', 'الدمشقي', '.', 'مضى', 'قريبا', 'في', 'الملقبين', 'ببرهان', 'الدين', '.', '*', '.']"
405,," إبراهيم الزواوي . هو ابن محمد بن عبد الرحمن بن يحيى .
",1,186," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'الزواوي', '.', 'هو', 'ابن', 'محمد', 'بن', 'عبد', 'الرحمن', 'بن', 'يحيى', '.']"
432,," اجترك القاسمي في مشترك .
",1,189," حرف الألف 
",,,False,False,alt,"['اجترك', 'القاسمي', 'في', 'مشترك', '.']"
555,," أحمد بن أبي أحمد الزاهد . في ابن محمد بن سليمان .
",1,225," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'ابي', 'احمد', 'الزاهد', '.', 'في', 'ابن', 'محمد', 'بن', 'سليمان', '.']"
556,," أحمد بن أرسلان بن عباد السفطي . يأتي في ابن عباد . [ سقط * ]
",1,225," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'ارسلان', 'بن', 'عباد', 'السفطي', '.', 'ياتي', 'في', 'ابن', 'عباد', '.', 'سقط', '*']"
580,," أحمد بن اقبرص . مضى في ابن آق برص بمهملتين .
",1,243," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'اقبرص', '.', 'مضى', 'في', 'ابن', 'اق', 'برص', 'بمهملتين', '.']"
645,," أحمد بن أبي بكر بن الديوان . يأتي في آخر الأحمدين فيمن لم يسم أبوه .
",1,264," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'ابي', 'بكر', 'بن', 'الديوان', '.', 'ياتي', 'في', 'اخر', 'الاحمدين', 'فيمن', 'لم', 'يسم', 'ابوه', '.']"
819,," أحمد بن صالح الشاعر . هو ابن محمد بن صالح يأتي .
",1,315," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'صالح', 'الشاعر', '.', 'هو', 'ابن', 'محمد', 'بن', 'صالح', 'ياتي', '.']"
821,," أحمد بن صحصاح بمهملات يأتي في ابن محمد بن محمد بن علي بن عثمان .
",1,315," ذكر الأحمدين 
",,,False,False,alt,"['احمد', 'بن', 'صحصاح', 'بمهملات', 'ياتي', 'في', 'ابن', 'محمد', 'بن', 'محمد', 'بن', 'علي', 'بن', 'عثمان', '.']"
1508,," أحمد بن محمد بن علي بن الفيومية . فيمن لم يسم أبوه من أواخر الأحمدين
 .
",2,155," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'محمد', 'بن', 'علي', 'بن', 'الفيومية', '.', 'فيمن', 'لم', 'يسم', 'ابوه', 'من', 'اواخر', 'الاحمدين', '.']"
1515,," أحمد بن محمد بن عماد صوابه ابن أبي بكر بن محمد بن عماد الشهاب الحموي
 الحنبلي وقد مضى .
",2,158," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'محمد', 'بن', 'عماد', 'صوابه', 'ابن', 'ابي', 'بكر', 'بن', 'محمد', 'بن', 'عماد', 'الشهاب', 'الحموي', 'الحنبلي', 'وقد', 'مضى', '.']"
1736,," أحمد بن مكنون . في ابن محمد بن مكنون .
",2,226," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'مكنون', '.', 'في', 'ابن', 'محمد', 'بن', 'مكنون', '.']"
1744,," أحمد بن موسى بن أحمد بن عبد الرحمن الجبراوي . هكذا رأيته في خط شيخنا
 ببعض الأماكن . والصواب في جده محمد وقد ترجمه كذلك في معجمه وغيره وسيأتي
 .
",2,227," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'موسى', 'بن', 'احمد', 'بن', 'عبد', 'الرحمن', 'الجبراوي', '.', 'هكذا', 'رايته', 'في', 'خط', 'شيخنا', 'ببعض', 'الاماكن', '.', 'والصواب', 'في', 'جده', 'محمد', 'وقد', 'ترجمه', 'كذلك', 'في', 'معجمه', 'وغيره', 'وسياتي', '.']"
1774,," أحمد بن يحيى بن شاكر بن عبد الغني أبو البركات بن الجيعان . يأتي في
 الكني .
",2,241," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'يحيى', 'بن', 'شاكر', 'بن', 'عبد', 'الغني', 'ابو', 'البركات', 'بن', 'الجيعان', '.', 'ياتي', 'في', 'الكني', '.']"
1808,," أحمد بن يوسف بن محمد البانياسي سيأتي فيمن لم يسم جده .
",2,250," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'يوسف', 'بن', 'محمد', 'البانياسي', 'سياتي', 'فيمن', 'لم', 'يسم', 'جده', '.']"
1815,," أحمد بن يوسف الكوراني . مضى فيمن جده إسماعيل بن عثمان وأنه مضى غلطا
 في أحمد بن إسماعيل بن عثمان بدون يوسف .
",2,251," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'يوسف', 'الكوراني', '.', 'مضى', 'فيمن', 'جده', 'اسماعيل', 'بن', 'عثمان', 'وانه', 'مضى', 'غلطا', 'في', 'احمد', 'بن', 'اسماعيل', 'بن', 'عثمان', 'بدون', 'يوسف', '.']"
1822,," أحمد بن السيد صفي الدين الأيجي مضى في ابن عبد الرحمن بن محمد بن عبد
 الله .
",2,252," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بن', 'السيد', 'صفي', 'الدين', 'الايجي', 'مضى', 'في', 'ابن', 'عبد', 'الرحمن', 'بن', 'محمد', 'بن', 'عبد', 'الله', '.']"
1824,," أحمد الشهاب أبو العباس بن الضياء الحنبلي . في ابن أحمد بن الضياء
 موسى بن إبراهيم بن طرخان .
",2,253," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'ابو', 'العباس', 'بن', 'الضياء', 'الحنبلي', '.', 'في', 'ابن', 'احمد', 'بن', 'الضياء', 'موسى', 'بن', 'ابراهيم', 'بن', 'طرخان', '.']"
1826,," أحمد الشهاب بن أصيل . مضى في ابن محمد بن عثمان .
",2,253," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'بن', 'اصيل', '.', 'مضى', 'في', 'ابن', 'محمد', 'بن', 'عثمان', '.']"
1833,," أحمد الأمير الشهاب بن الطبلاوي الوالي . مضى في ابن محمد .
",2,253," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الامير', 'الشهاب', 'بن', 'الطبلاوي', 'الوالي', '.', 'مضى', 'في', 'ابن', 'محمد', '.']"
1834,," أحمد الشهاب بن الطولوني . في ابن محمد بن علي بن عبد الله وفي ولده
 أحمد بن أحمد .
",2,253," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'بن', 'الطولوني', '.', 'في', 'ابن', 'محمد', 'بن', 'علي', 'بن', 'عبد', 'الله', 'وفي', 'ولده', 'احمد', 'بن', 'احمد', '.']"
1836,," أحمد الشهاب بن المراحل . في ابن محمد بن أحمد .
",2,253," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'بن', 'المراحل', '.', 'في', 'ابن', 'محمد', 'بن', 'احمد', '.']"
1839,," أحمد الشهاب أبو البقاء الزبيري في ابن حسين بن علي .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'ابو', 'البقاء', 'الزبيري', 'في', 'ابن', 'حسين', 'بن', 'علي', '.']"
1840,," أحمد الشهاب أبو العباس اللجائي المغربي الفاسي المالكي ، مضى في ابن
 محمد بن عيسى بن علي .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'ابو', 'العباس', 'اللجائي', 'المغربي', 'الفاسي', 'المالكي', '،', 'مضى', 'في', 'ابن', 'محمد', 'بن', 'عيسى', 'بن', 'علي', '.']"
1841,," أحمد الشهاب أبو العباس المغراوي المغربي . ممن قرأ عليه الشهاب
 الحجازي وغيره في النحو وغيره . ومضى في ابن محمد .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'ابو', 'العباس', 'المغراوي', 'المغربي', '.', 'ممن', 'قرا', 'عليه', 'الشهاب', 'الحجازي', 'وغيره', 'في', 'النحو', 'وغيره', '.', 'ومضى', 'في', 'ابن', 'محمد', '.']"
1846,," أحمد الشهاب الباريني المحلي الشافعي . ممن تفقه عليه بالمحلة المحب بن
 الإمام . مضى .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'الباريني', 'المحلي', 'الشافعي', '.', 'ممن', 'تفقه', 'عليه', 'بالمحلة', 'المحب', 'بن', 'الامام', '.', 'مضى', '.']"
1847,," أحمد الشهاب البامي ، مضى في ابن محمد بن أحمد بن محمد بن أحمد .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'البامي', '،', 'مضى', 'في', 'ابن', 'محمد', 'بن', 'احمد', 'بن', 'محمد', 'بن', 'احمد', '.']"
1848,," أحمد الشهاب البجائي الحميري . في ابن علي بن موسى .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'البجائي', 'الحميري', '.', 'في', 'ابن', 'علي', 'بن', 'موسى', '.']"
1849,," أحمد الشهاب البوتيجي . ممن سمع بمكة على التقي بن فهد وهو ابن محمد
  بن عبد الرزاق بن محمد ، مضى .
",2,254," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'البوتيجي', '.', 'ممن', 'سمع', 'بمكة', 'على', 'التقي', 'بن', 'فهد', 'وهو', 'ابن', 'محمد', 'بن', 'عبد', 'الرزاق', 'بن', 'محمد', '،', 'مضى', '.']"
1855,," أحمد الشهاب الحميري . في البجائي وأنه ابن علي بن موسى .
",2,255," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'الحميري', '.', 'في', 'البجائي', 'وانه', 'ابن', 'علي', 'بن', 'موسى', '.']"
1859,," أحمد الشهاب السخاوي . مضى قريبا فيمن يعرف بابن مونن .
",2,255," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'السخاوي', '.', 'مضى', 'قريبا', 'فيمن', 'يعرف', 'بابن', 'مونن', '.']"
1861,," أحمد الشهاب الشارعي . مضى في ابن محمد .
",2,256," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'الشارعي', '.', 'مضى', 'في', 'ابن', 'محمد', '.']"
1863,," أحمد الشهاب الطوخي الحنبلي . في ابن عبد الله .
",2,256," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'الطوخي', 'الحنبلي', '.', 'في', 'ابن', 'عبد', 'الله', '.']"
1864,," أحمد الشهاب الطولوني كبير المهندسين في ابن أحمد بن محمد بن علي بن
 عبد الله بن علي .
",2,256," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'الطولوني', 'كبير', 'المهندسين', 'في', 'ابن', 'احمد', 'بن', 'محمد', 'بن', 'علي', 'بن', 'عبد', 'الله', 'بن', 'علي', '.']"
1865,," أحمد الشهاب العدوي ، في ابن محمود بن عبد السلام بن محمود .
",2,256," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'العدوي', '،', 'في', 'ابن', 'محمود', 'بن', 'عبد', 'السلام', 'بن', 'محمود', '.']"
1872,," أحمد الشهاب القمني المالكي في ابن محمد بن علي بن عبد الهادي .
",2,256," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'القمني', 'المالكي', 'في', 'ابن', 'محمد', 'بن', 'علي', 'بن', 'عبد', 'الهادي', '.']"
1877,," أحمد الشهاب المنيجي والد أبي القسم ، مضى في ابن محمد .
",2,257," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشهاب', 'المنيجي', 'والد', 'ابي', 'القسم', '،', 'مضى', 'في', 'ابن', 'محمد', '.']"
1888,," أحمد بهاء الدين الحواري الدمشقي . مضى في ابن أبي بكر .
",2,258," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'بهاء', 'الدين', 'الحواري', 'الدمشقي', '.', 'مضى', 'في', 'ابن', 'ابي', 'بكر', '.']"
1907,," أحمد الأقطع . يأتي في أحمد الدوادار قريبا .
",2,259," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الاقطع', '.', 'ياتي', 'في', 'احمد', 'الدوادار', 'قريبا', '.']"
1909,," أحمد خازوق في الملقبين بشهاب الدين الحلبي .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'خازوق', 'في', 'الملقبين', 'بشهاب', 'الدين', 'الحلبي', '.']"
1910,," أحمد ذويبة ، يأتي في أحمد الصامت قريبا .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'ذويبة', '،', 'ياتي', 'في', 'احمد', 'الصامت', 'قريبا', '.']"
1913,," أحمد النشار . في الملقبين بالشهاب المدني .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'النشار', '.', 'في', 'الملقبين', 'بالشهاب', 'المدني', '.']"
1915,," أحمد الأذرعي في ابن إبراهيم .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الاذرعي', 'في', 'ابن', 'ابراهيم', '.']"
1916,," أحمد الأريحي إمام مقام الحنفية بمكة نيابة قرأ عليه الديروطي القراءات
 وهو ابن سعد بن مسلم ، مضى .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الاريحي', 'امام', 'مقام', 'الحنفية', 'بمكة', 'نيابة', 'قرا', 'عليه', 'الديروطي', 'القراءات', 'وهو', 'ابن', 'سعد', 'بن', 'مسلم', '،', 'مضى', '.']"
1917,," أحمد البامي ، في ابن محمد بن أحمد بن محمد بن أحمد .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'البامي', '،', 'في', 'ابن', 'محمد', 'بن', 'احمد', 'بن', 'محمد', 'بن', 'احمد', '.']"
1918,," أحمد البرنقي ، في ابن محمد .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'البرنقي', '،', 'في', 'ابن', 'محمد', '.']"
1924,," أحمد حطيبة أحد المجاذيب يأتي في حطيبة .
",2,260," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'حطيبة', 'احد', 'المجاذيب', 'ياتي', 'في', 'حطيبة', '.']"
1927,," أحمد الخشاب المجذوب مضى في ابن محمد بن صالح .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الخشاب', 'المجذوب', 'مضى', 'في', 'ابن', 'محمد', 'بن', 'صالح', '.']"
1928,," أحمد الخواص هو ابن عبادة بن شعيب .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الخواص', 'هو', 'ابن', 'عبادة', 'بن', 'شعيب', '.']"
1934,," أحمد الزاهد اثنان ابن أبي بكر بن أحمد وابن محمد بن سليمان .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الزاهد', 'اثنان', 'ابن', 'ابي', 'بكر', 'بن', 'احمد', 'وابن', 'محمد', 'بن', 'سليمان', '.']"
1935,," أحمد الزواوي اثنان أحدهما المقيم بالأزهر وهو ابن صاح بن خلاسة
 والثاني ابن سليمان بن نصر الله .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الزواوي', 'اثنان', 'احدهما', 'المقيم', 'بالازهر', 'وهو', 'ابن', 'صاح', 'بن', 'خلاسة', 'والثاني', 'ابن', 'سليمان', 'بن', 'نصر', 'الله', '.']"
1936,," أحمد الذروي في ابن محمد بن أحمد بن علي .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الذروي', 'في', 'ابن', 'محمد', 'بن', 'احمد', 'بن', 'علي', '.']"
1937,," أحمد السخاوي جماعة ابن محمد بن زين أو مونن وابن محمد بن عبد الرحمن بن
 أبي بكر وابن قاضي المالكية بطيبة شمس الدين محمد بن أحمد بن موسى بن أبي
 بكر . 
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'السخاوي', 'جماعة', 'ابن', 'محمد', 'بن', 'زين', 'او', 'مونن', 'وابن', 'محمد', 'بن', 'عبد', 'الرحمن', 'بن', 'ابي', 'بكر', 'وابن', 'قاضي', 'المالكية', 'بطيبة', 'شمس', 'الدين', 'محمد', 'بن', 'احمد', 'بن', 'موسى', 'بن', 'ابي', 'بكر', '.']"
1938,," أحمد السطوحي . في ابن خضر .
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'السطوحي', '.', 'في', 'ابن', 'خضر', '.']"
1939,," أحمد السعودي الحنفي في ابن يوسف بن أحمد . 
",2,261," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'السعودي', 'الحنفي', 'في', 'ابن', 'يوسف', 'بن', 'احمد', '.']"
1946,," أحمد الشغري جماعة ابن محمد بن محمد بن عمر وابن . 
",2,262," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الشغري', 'جماعة', 'ابن', 'محمد', 'بن', 'محمد', 'بن', 'عمر', 'وابن', '.']"
1949,," أحمد الصابوني والد العلاء في ابن محمد بن سليمان .
",2,262," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الصابوني', 'والد', 'العلاء', 'في', 'ابن', 'محمد', 'بن', 'سليمان', '.']"
1952,," أحمد الصيرفي العجمي نزيل مكة ، مات سنة إحدى وستين ومضى في ابن عبد
 الله بن عمر بن أحمد .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الصيرفي', 'العجمي', 'نزيل', 'مكة', '،', 'مات', 'سنة', 'احدى', 'وستين', 'ومضى', 'في', 'ابن', 'عبد', 'الله', 'بن', 'عمر', 'بن', 'احمد', '.']"
1953,," أحمد الصعيدي كمونة مضى قريبا .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الصعيدي', 'كمونة', 'مضى', 'قريبا', '.']"
1954,," أحمد الصندلي في ابن محمد بن حسن بن أبي الحسن .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الصندلي', 'في', 'ابن', 'محمد', 'بن', 'حسن', 'بن', 'ابي', 'الحسن', '.']"
1955,," أحمد الصنهاجي المغربي بالملقبين بالشهاب .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الصنهاجي', 'المغربي', 'بالملقبين', 'بالشهاب', '.']"
1956,," أحمد الطوخي جماعة : في ابن محمد بن عبد الرحمن بن رجب وابن محمد بن
 قاسم وابن أحمد بن فخر الدين عثمان .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الطوخي', 'جماعة', ':', 'في', 'ابن', 'محمد', 'بن', 'عبد', 'الرحمن', 'بن', 'رجب', 'وابن', 'محمد', 'بن', 'قاسم', 'وابن', 'احمد', 'بن', 'فخر', 'الدين', 'عثمان', '.']"
1964,," أحمد القروي اثنان مغربيان قائد الركب وحلولو .
",2,263," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'القروي', 'اثنان', 'مغربيان', 'قائد', 'الركب', 'وحلولو', '.']"
1968,," أحمد القليجي : اثنان حنفيان أحدهما ابن محمد بن عمر بن علي والآخر ابن
 عبد الله بن محمد بن عمر ابن أخي الأول .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'القليجي', ':', 'اثنان', 'حنفيان', 'احدهما', 'ابن', 'محمد', 'بن', 'عمر', 'بن', 'علي', 'والاخر', 'ابن', 'عبد', 'الله', 'بن', 'محمد', 'بن', 'عمر', 'ابن', 'اخي', 'الاول', '.']"
1969,," أحمد القوصي اثنان اتفقا في الأب والجد أيضا فما ابنا محمد بن محمد .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'القوصي', 'اثنان', 'اتفقا', 'في', 'الاب', 'والجد', 'ايضا', 'فما', 'ابنا', 'محمد', 'بن', 'محمد', '.']"
1971,," أحمد الكلوتاتي اثنان : ابن عثمان بن محمد بن إبراهيم بن عبد الله وابن
 محمد بن عبد اللطيف .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الكلوتاتي', 'اثنان', ':', 'ابن', 'عثمان', 'بن', 'محمد', 'بن', 'ابراهيم', 'بن', 'عبد', 'الله', 'وابن', 'محمد', 'بن', 'عبد', 'اللطيف', '.']"
1972,," أحمد المتبولي اثنان كل منهما اسم أبيه موسى أقدمهما اسم جده نصير
 والآخر اسم جده أحمد بن عبد الرحمن .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'المتبولي', 'اثنان', 'كل', 'منهما', 'اسم', 'ابيه', 'موسى', 'اقدمهما', 'اسم', 'جده', 'نصير', 'والاخر', 'اسم', 'جده', 'احمد', 'بن', 'عبد', 'الرحمن', '.']"
1980,," أحمد المكيني ربيب البلقيني في ابن محمد بن بركوت .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'المكيني', 'ربيب', 'البلقيني', 'في', 'ابن', 'محمد', 'بن', 'بركوت', '.']"
1982,," أحمد النحريري المالكي . في ابن عبد الله .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'النحريري', 'المالكي', '.', 'في', 'ابن', 'عبد', 'الله', '.']"
1984,," أحمد الهيثمي ، في ابن حسن بن محمد .
",2,264," بسم الله الرحمن الرحيم
",,,False,False,alt,"['احمد', 'الهيثمي', '،', 'في', 'ابن', 'حسن', 'بن', 'محمد', '.']"
2005,," أركماس الأشقر ، هو الذي قبله .
",2,267," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['اركماس', 'الاشقر', '،', 'هو', 'الذي', 'قبله', '.']"
2011,," أركماس المؤيدي هو من صفر الماضي قريبا .
",2,268," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['اركماس', 'المؤيدي', 'هو', 'من', 'صفر', 'الماضي', 'قريبا', '.']"
2013,," أركماس اليشبكي . هو الطويل :
",2,268," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['اركماس', 'اليشبكي', '.', 'هو', 'الطويل', ':']"
2014,," أركماس الجاموس هو النوروز قبله .
",2,268," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['اركماس', 'الجاموس', 'هو', 'النوروز', 'قبله', '.']"
2017,," أرنبغا الحافظي ، في الذي بعده .
",2,268," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['ارنبغا', 'الحافظي', '،', 'في', 'الذي', 'بعده', '.']"
2025,," أزبك خاص خرجي ، يأتي قريبا في أزبك الظاهري برقوق .
",2,272," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['ازبك', 'خاص', 'خرجي', '،', 'ياتي', 'قريبا', 'في', 'ازبك', 'الظاهري', 'برقوق', '.']"
2028,," أزبك الظاهري برقوق الدوادار ، مضى قريبا .
",2,272," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['ازبك', 'الظاهري', 'برقوق', 'الدوادار', '،', 'مضى', 'قريبا', '.']"
2031,," أزبك الظاهري جقمق هو أزبك الخازندار .
",2,272," بسم الله الرحمن الرحيم
"," ذكر من اسمه إدريس إلى انتهاء حرف الألف 
",,False,False,alt,"['ازبك', 'الظاهري', 'جقمق', 'هو', 'ازبك', 'الخازندار', '.']"
