,category,name,context
77,زاوية,الخدام, في سابع عشري شعبان سنة ست واربعين وثمانمائة بالقرب من زاوية الخدام
78,رباط,الموفق, سعيد بن موسى بن الزموري المغربي النامردي نزيل مكة وشيخ رباط الموفق
79,رباط,الموفق, سنة خمس وثلاثين فقدم مكة في موسمعها فقطنها وولي مشيخة رباط الموفق
80,رباط,الحمصي, تهذيب النفوس للسعودي الحنفي ووصف نفسه بالصوفي بسعيد السعداء وشيخ رباط الحمصي
81,زاوية,الاشرف, واستقر به ابوه في مشيخة زاوية الاشرف
82,زاوية,الشيخ, كان مقيما بزاوية الشيخ
83,رباط,الموفق, وولي مشيخة رباط الموفق
84,زاوية,الشيخ, وابن الهمام وابن قديد وابي العباس السرسي واقام تحت نظره بزاوية الشيخ
85,رباط,السدة, في اخر ذي الحجة سنة خمس او اول التي بعدها برباط السدة
86,خانقاه,المواصلة, ومحمود الهندي وكذا قال الشهاب الزفتاوي انه قرا عليه في خانقاه المواصلة
87,زاوية,القادرية, ومات ابوه وهو ابن سنة فتزوج بامه العز القادري شيخ زاوية القادرية
88,زاوية,الحنفي, بن عبد الله البرموني الاصل الدميري المالكي نزيل زاوية الحنفي
89,زاوية,الشاب, صلاة العصر بالجامع الازهر في مشهد حافظ جدا ثم دفن بزاوية الشاب
90,زاوية,الجبرتي, منهما اجلاسا حافلا شهده الاكابر وبالبرقوقية بعد البساطي وشيخا للصوفية بزاوية الجبرتي
91,زاوية,الشيخ, المارداني لقربه من منزله ووصيته بذلك رفعا للكلفة ثم دفن بزاوية الشيخ
92,زاوية,الجبرتي, وحج وجاور قليلا وانقطع بزاوية الجبرتي
93,زاوية,الشيخ, اليسير من شرحه للاندلسية وجميعه على ابي العباس الحنفي المقيم بزاوية الشيخ
94,دير,العباسي, مشكور السيرة كثير الحياء والتودد للناس وتزوج البدر محمد بن بدير العباسي
95,رباط,الاثار, ولد في شوال سنة سبع وثمانين وسبعمائة وولي مشيخة رباط الاثار
96,زاوية,الحنفي, وسبعين وثمانمائة واشتغل بالفقه والعربية والتصوف على الشمس البرموني نزيل زاوية الحنفي
97,رباط,الشريف, وقرا عليه في الاصول وغيره واستقر به الجمالي في مشيخة رباط الشريف
98,زاوية,التقي, وقدم القاهرة في سنة ثلاثين ونزل بزاوية التقي
99,رباط,الموفق, ابو عبد الله الغماري المغربي الوانوغي المالكي نزيل مكة وشيخ رباط الموفق
100,رباط,الموفق, ابي الخير الفاسي ويسال اسئلة كثيرة بسكون وتؤدة وولي مشيخة رباط الموفق
101,زاوية,اليسع, وله شهادة في العمائر باوقاف البيمارستان وغير ذلك ثم انقطع بزاوية اليسع
102,زاوية,الشيخ, سنة اثنتين وخمسين بسويقة اللبن ظاهر باب الفتوح ودفن هناك بزاوية الشيخ
103,رباط,الموفق, وثمانين وصلي عليه عقب الصبح من الغد ودفن عند جماعة رباط الموفق
104,رباط,الظاهر, الحقيقي بمهملة وقافين كالدقيقي اليمني نزيل رباط الظاهر
105,رباط,الموفق, محمد العربي المغربي شيخ رباط الموفق
106,زاوية,البيدغاني, مات في ذي الحجة سنة ثلاث وستين ودفن بزاوية البيدغاني
107,رباط,الظاهر, الهروي نزيل رباط الظاهر
108,رباط,السدرة, بن عثمان بن محمد الخساري السمرقندي الهروي نزيل رباط السدرة
109,دير,الطين, بن المشبب واخذ عني قليلا وانقطع بالقرافة ثم انتقل الى دير الطين
110,زاوية,الحنفي, اقام في زاوية الحنفي
111,رباط,الخوزي, نزيل مكة وشيخ رباط الخوزي
112,رباط,الخوزي, ازيد وكان فيه خير واحسان لجماعة من الفقراء وخدم الفقراء برباط الخوزي
113,رباط,الموفق, مات بمكة في رمضان سنة ثماني عشرة ودفن بمقبرة رباط الموفق
114,رباط,السلطان, لابن الزمن حتى استقر به عقب الشمس المسيري في مشيخة رباط السلطان
115,زاوية,الشيخ, وقد اجتمعت به كثيرا وسمعت كلامه ورايته وهو يقرئ بزاوية الشيخ
116,زاوية,الشيخ, عبد اللطيف بن يوسف الجمال الصردي ثم القاهري المالكي نزيل زاوية الشيخ
117,رباط,العز, بن محمد بن مسعود الشامي الدلال وجد ميتا في بيته برباط العز
118,زاوية,الاعاجم, بكر اعجمي مقيم بزاوية الاعاجم
119,زاوية,الابناسي, البدر الفيومي ثم الفخر عثمان المقسي وانتقل بعد بجانبه جوار زاوية الابناسي
120,رباط,السيد, الاولى سنة سبع وستين ارخه ابن فهد وعجمي نجار ينزل برباط السيد
121,رباط,الدمشقية, في شوال سنة سبع وثلاثين سقط عن غلبة في بئر رباط الدمشقية
122,دير,العباسي, واظنه اخوه وهو اخو زوجة البدر محمد بن محمد بن بدير العباسي
123,رباط,القائد, طبيق بضم مصغر المصري وجد مذبوحا على سريره برباط القائد
124,رباط,الظاهرية, ابنة المصرية ثم المكية الشيخة برباط الظاهرية
125,رباط,القيلاني, ابي نمى الحسني زوج رميح الشريف وام ولده عجل وصاحبة رباط القيلاني
126,رباط,الخوزي, ولها معروف وماثر حسنة جددت بمكة رباط الخوزي
127,رباط,الظاهرية, نزيلة مكة والملقبة بالشيخة لكونها كانت شيخة رباط الظاهرية
128,زاوية,الجنيد, ابنة صالح بن ابي المنصور الشيباني وتعرفه بالجنيدية لسكناها جوار زاوية الجنيد
