"tokens","lemmas","ne_labels","pos"
"الأشقر","أَشْقَر","I-PERS","noun_prop"
"نزيل","أَزال","O","verb"
"القدس","قُدْس","B-LOC","noun_prop"
"و+_لزمه","لَزِم","O","verb"
"سنين","سَنَة","O","noun"
"في","فِي","O","prep"
"عدة","عِدَّة","O","adj"
"علوم","عِلْم","O","noun"
"و+_ذكر","ذَكَر","O","verb"
"أنه","أَنَّ","O","conj_sub"
"كان","كان","O","verb"
"يخدمه","خَدَم","O","verb"
"و+_يحمل","حَمَل","O","verb"
"ولده","وَلَد","O","noun"
"و+_أنتمي","ٱِنْتَمَى","O","verb"
"ل+_يشبك","شاب","B-PERS","noun_prop"
"الناصري","ناصِرِيّ","I-PERS","noun_prop"
"الكبير","كَبِير","O","adj"
"ل+_وصيته","وَصِيَّة","O","noun"
"به","بِ","O","prep"
"من","مِن","O","prep"
"أبيه","أَب","O","noun"
"ف+_حفظ","حِفْظ","O","noun"
"القرآن","قُرْآن","O","noun_prop"
"و+_غيره","غَيْر","O","noun"
"و+_أشتغل","ٱِشْتَغَل","O","verb"
"يسير","سار","O","verb"
"إ","إِ","O","abbrev"
"و+_سمع","سَمِع","O","verb"
"على","عَلَى","O","prep"
"الزين","زَيْن","B-PERS","noun_prop"
"العراقي","عِراقِيّ","I-PERS","noun_prop"
"كما","كَما","O","conj"
"سمعته","سُمْعَة","O","noun"
"من","مِن","O","prep"
"شيخنا","شَيْخ","O","noun"
"كثير","كَثِير","O","noun"
"إ","إِ","O","abbrev"
"ك+_الصحيحين","صَحِيح","B-MISC","noun_prop"
"و+_كان","كان","O","verb"
"هو","هُوَ","O","pron"
"يحكى","حَكَى","O","verb"
"فيما","ما","O","conj_sub"
"بلغني","بَلَغ","O","verb"
"أن","أَنَّ","O","conj_sub"
"سماعه","سَماع","O","noun"
"لهما","لِ","O","prep"
"كان","كان","O","verb"
"ب+_مجلس","مَجْلِس","O","noun"
"يشبك","شاب","B-PERS","noun_prop"
"المذكور","مَذْكُور","O","adj"
"و+_أن","أَنَّ","O","conj_sub"
"الشيخ","شَيْخ","O","noun_prop"
"لم","لَم","O","part_neg"
"يكن","كان","O","verb"
"يجلس","جَلَس","O","verb"
"إلا","إِلّا","O","part"
"على","عَلَى","O","prep"
"طهارة","طَهارَة","O","noun"
"ف+_كان","كان","O","verb"
"إذا","إِذا","O","conj"
"حدث","حَدَث","O","verb"
"قطع","قَطْع","O","noun"
"القارئ","قارِئ","O","noun"
"القراءة","قِراءَة","O","noun"
"حتى","حَتَّى","O","prep"
"يتوضأ","تَوَضَّأ","O","verb"
"و+_لا","لا","O","part_neg"
"يسمح","سَمَح","O","verb"
"ب+_المشي","مَشْي","O","noun"
"على","عَلَى","O","prep"
"بساط","بِساط","O","noun"
"الأمير","أَمِير","O","noun"
"ب+_دون","دُون","O","noun"
"حائل","حائِل","O","noun"
"لكن","لٰكِنَّ","O","conj"
"قرأت","قَرَأ","O","verb"
"ب+_خطة","خُطَّة","O","noun"
"على","عَلَى","O","prep"
"ب+_عض","عَضّ","O","noun"
"الاستدعاات","الاستدعاات","O","noun_prop"
"سمعت","سَمِع","O","verb"
"البخاري","بُخارِيّ","B-PERS","noun_prop"
"على","عَلَى","O","prep"
"الزين","زَيْن","B-PERS","noun_prop"
"العراقي","عِراقِيّ","I-PERS","noun_prop"
"ب+_قراءة","قِراءَة","O","noun"
"الشهاب","شِهاب","B-PERS","noun_prop"
"الاشموني","الاشموني","I-PERS","noun_prop"
"في","فِي","O","prep"
"سنة","سَنَة","O","noun"
"ثلاث","ثَلاث","O","adj_num"
"و+_ثمانمائة","ثَمانِمائَة","O","adj_num"
"فاالله","فاالله","B-MISC","noun_prop"
"أعلم","عَلِم","O","verb"
"،","،","O","punc"
"و+_أجاز","أَجاز","O","verb"
"له","لِ","O","prep"
"باخرة","باخِرَة","O","noun"
"ابن","ٱِبْن","B-PERS","noun_prop"
"الجزري","جَزَرِيّ","I-PERS","noun_prop"
"في","فِي","O","prep"
"استدعاء","ٱِسْتِدْعاء","O","noun"
"النجم","نَجْم","B-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"فهد","فَهْد","I-PERS","noun_prop"
"و+_لا","لا","O","part_neg"
"أشك","شَكّ","O","verb"
"أن","أَنَّ","O","conj_sub"
"له","لِ","O","prep"
"أشياء","شَيْء","O","noun"
"عمن","عَمَّن","O","prep"
"فوق","فَوْق","O","noun"
"هذه","هٰذا","O","pron_dem"
"الطبقة","طَبَقَة","O","noun"
"لكن","لٰكِنَّ","O","conj"
"ما","ما","O","pron_rel"
"وقفت","وَقَف","O","verb"
"على","عَلَى","O","prep"
"ذلك","ذٰلِكَ","O","pron_dem"
"،","،","O","punc"
"و+_كان","كان","O","verb"
"شيخنا","شَيْخ","O","noun"
"رام","رام","O","noun_prop"
"مني","مِن","O","prep"
"التخريج","تَخْرِيج","O","noun"
"له","لِ","O","prep"
"ف+_ما","ما","O","part_neg"
"تيسر","تَيَسَّر","O","verb"
"في","فِي","O","prep"
"حياته","حَياة","O","noun"
"؛","؛","O","punc"
"و+_أول","أَوَّل","O","adj"
"ما","ما","O","pron_rel"
"تأهل","تَأَهَّل","O","verb"
"استقر","ٱِسْتَقَرّ","O","verb"
"به","بِ","O","prep"
"يشبك","شاب","B-PERS","noun_prop"
"المذكور","مَذْكُور","O","adj"
"عنده","عِنْد","O","noun"
"فيما","ما","O","conj_sub"
"قيل","قال","O","verb"
"أماما","أَمام","O","noun"
"و+_رفع","رَفَع","O","verb"
"من","مِن","O","prep"
"جانبه","جانِب","O","noun"
"ب+_حيث","حَيْثُ","O","conj"
"لم","لَم","O","part_neg"
"يكن","كان","O","verb"
"يرد","رَدّ","O","verb"
"له","لِ","O","prep"
"كلاما","كَلام","O","noun"
"و+_لذا","لَذِيذ","O","noun"
"قصد","قَصَد","O","verb"
"في","فِي","O","prep"
"القضاء","قَضاء","O","noun"
"ف+_أشتهر","ٱِشْتَهَر","O","verb"
"ذكره","ذَكَر","O","verb"
"ثم","ثُمَّ","O","adv"
"جهزه","جَهَّز","O","verb"
"ل+_مكة","مَكَّة","B-LOC","noun_prop"
"و+_اليمن","يَمَن","B-LOC","noun_prop"
"عقب","عُقْب","O","noun"
"موت","مَوْت","O","noun"
"الخواجا","الخواجا","B-PERS","noun_prop"
"البرهان","بُرْهان","I-PERS","noun_prop"
"المحلي","مَحَلِّيّ","I-PERS","noun_prop"
"عن","عَن","O","prep"
"الناصر","ناصِر","B-PERS","noun_prop"
"فرج","فَرَج","I-PERS","noun_prop"
"في","فِي","O","prep"
"سنة","سَنَة","O","noun"
"ست","سِتّ","O","adj_num"
"و+_ثمانمائة","ثَمانِمائَة","O","adj_num"
"ف+_ضبط","ضَبْط","O","noun"
"موجودة","مَوْجُود","O","noun"
"و+_أحر","أَحَرّ","O","noun"
"ب+_ولده","وَلَد","O","noun"
"معه","مَع","O","prep"
"ف+_أقبلت","أَقْبَل","O","verb"
"عليه","عَلَى","O","prep"
"السعادة","سَعادَة","O","noun"
"و+_تزوج","تَزَوَّج","O","verb"
"أخته","أُخْت","O","noun"
"ف+_تزايدت","تَزايَد","O","verb"
"وجاهته","وَجاهَة","O","noun"
"،","،","O","punc"
"و+_نأب","أَبَى","O","verb"
"في","فِي","O","prep"
"القضاء","قَضاء","O","noun"
"عن","عَن","O","prep"
"ابن","ٱِبْن","B-PERS","noun_prop"
"العديم","عَدِيم","I-PERS","adj"
"ف+_من","مِن","O","prep"
"بعده","بُعْد","O","noun"
"؛","؛","O","punc"
"و+_استقر","ٱِسْتَقَرّ","O","verb"
"في","فِي","O","prep"
"مشيخة","مَشْيَخَة","O","noun"
"الخانقاه","الخانقاه","B-LOC","noun_prop"
"الناصرية","ناصِرِيّ","I-LOC","noun_prop"
"بسرياقوس","بسرياقوس","I-LOC","noun_prop"
"في","فِي","O","prep"
"ربيع","رَبِيع","O","noun_prop"
"الأول","أَوَّل","O","noun_prop"
"سنة","سَنَة","O","noun"
"خمس","خَمْس","O","adj_num"
"عشرة","عَشَرَة","O","adj_num"
"ب+_رغبة","رَغْبَة","O","noun"
"شمس","شَمْس","B-PERS","noun_prop"
"الدين","دِين","I-PERS","noun"
"محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"أوحد","وَحَّد","I-PERS","verb"
"حين","حِين","O","noun"
"مرافعة","مُرافَعَة","O","noun"
"صوفيتها","صُوفِيّ","O","adj"
"فيه","فِي","O","prep"
"ل+_معرفته","مَعْرِفَة","O","noun"
"كما","كَما","O","conj"
"قال","قال","O","verb"
"شيخنا","شَيْخ","O","noun"
"ب+_محبة","مَحَبَّة","O","noun"
"الناصر","ناصِر","B-PERS","noun_prop"
"للمترول","للمترول","O","noun"
"له","لِ","O","prep"
"ل+_حسن","حُسْن","O","noun"
"سياسته","سِياسَة","O","noun"
"ف+_أمضي","مَضَى","O","verb"
"له","لِ","O","prep"
"يلبغا","يلبغا","B-PERS","noun_prop"
"الناصري","ناصِرِيّ","I-PERS","noun_prop"
"نائب","نائِب","O","noun"
"غيبه","غائِب","O","noun"
"الناصر","ناصِر","B-PERS","noun_prop"
"الترول","الترول","I-PERS","noun_prop"
"ف+_رسخت","رَسَّخ","O","verb"
"قدمه","قَدَّم","O","verb"
"في","فِي","O","prep"
"سرياقوس","سرياقوس","B-LOC","noun_prop"
"و+_باشرها","باشَر","O","verb"
"ب+_رياسة","رِئاسَة","O","noun"
"و+_حشمة","حِشْمَة","O","noun"
"و+_تودد","وَدّ","O","verb"
"و+_عقل","عَقْل","O","noun"
"،","،","O","punc"
"و+_برز","بَرَز","O","verb"
"بعد","بُعْد","O","noun"
"استقراره","ٱِسْتِقْرار","O","noun"
"ب+_يسير","يَسِير","O","adj"
"من","مِن","O","prep"
"السنة","سَنَة","O","noun"
"ل+_لقاء","لِقاء","O","noun"
"المستعين","المستعين","B-PERS","noun_prop"
"باالله","باالله","I-PERS","noun_prop"
"ل+_كونه","كَوْن","O","noun"
"زوجا","زَوْج","O","noun"
"ل+_أخت","أُخْت","O","noun"
"زوجته","زَوْجَة","O","noun"
"المشار","مُشار","O","adj"
"إليها","إِلَى","O","prep"
"ف+_تلقي","أَلْقَى","O","verb"
"ب+_الإكرام","إِكْرام","O","noun"
"و+_التعظيم","تَعْظِيم","O","noun"
"ف+_تزايدت","تَزايَد","O","verb"
"وجاهته","وَجاهَة","O","noun"
"و+_علت","عَلا","O","verb"
"مكانته","مَكانَة","O","noun"
"،","،","O","punc"
"و+_أضيف","أَضاف","O","verb"
"إليه","إِلَى","O","prep"
"في","فِي","O","prep"
"الأيام","يَوْم","O","noun"
"الناصرية","ناصِرِيّ","B-LOC","noun_prop"
"نظر","نَظَر","O","noun"
"جامع","جامِع","B-LOC","noun"
"عمرو","عَمْرو","I-LOC","noun_prop"
"و+_استمر","ٱِسْتَمَرّ","O","verb"
"معه","مَع","O","prep"
"إلى","إِلَى","O","prep"
"أن","أَنَّ","O","conj_sub"
"سافر","سافَر","O","verb"
"ل+_الحج","حَجّ","O","noun"
"ف+_أخرج","خَرَج","O","verb"
"عنه","عَن","O","prep"
"حين","حِين","O","noun"
"أنهى","أَنْهَى","O","verb"
"إلى","إِلَى","O","prep"
"السلطان","سُلْطان","O","noun"
"أنه","أَنَّ","O","conj_sub"
"أخذ","أَخَذ","O","verb"
"مال","مال","O","noun"
"الجامع","جامِع","O","noun"
"ف+_حج","حَجّ","O","noun"
"به","بِ","O","prep"
"ف+_لما","لَمّا","O","conj"
"جاء","جاء","O","verb"
"بادر","بادَر","O","verb"
"ل+_الاجتماع","ٱِجْتِماع","O","noun"
"ب+_المستقر","مُسْتَقِرّ","B-PERS","adj"
"عوضه","عَوَّض","O","verb"
"و+_ألتمس","ٱِلْتَمَس","O","verb"
"منه","مِن","O","prep"
"إرسال","إِرْسال","O","noun"
"قاصد","قاصِد","O","adj"
"معه","مَع","O","prep"
"إلى","إِلَى","O","prep"
"خلوته","خَلا","O","verb"
"بالشيخونية","بالشيخونيه","B-LOC","noun_prop"
"ل+_يتسلم","تَسَلَّم","O","verb"
"مال","مال","O","noun"
"الجامع","جامِع","O","noun"
"ف+_فعل","فِعْل","O","noun"
"و+_ظهرت","ظَهَر","O","verb"
"براءته","بَراءَة","O","noun"
"مما","مِن","O","prep"
"نسب","نَسَب","O","verb"
"إليه","إِلَى","O","prep"
"عند","عِنْد","O","noun"
"السلطان","سُلْطان","O","noun"
"ف+_من","مِن","O","prep"
"دونه","دُون","O","noun"
"،","،","O","punc"
"ثم","ثُمَّ","O","adv"
"استقر","ٱِسْتَقَرّ","O","verb"
"في","فِي","O","prep"
"الأيام","يَوْم","O","noun"
"المؤيدية","المؤيديه","B-LOC","noun_prop"
"في","فِي","O","prep"
"نظر","نَظَر","O","noun"
"دار","دار","O","noun"
"الضرب","ضَرْب","O","noun"
"ب+_دون","دُون","O","noun"
"خلعه","خَلْع","O","noun"
"ف+_دام","دام","O","verb"
"نحو","نَحْو","O","noun"
"سنة","سَنَة","O","noun"
"و+_أبتهج","ٱِبْتَهَج","O","verb"
"السلطان","سُلْطان","O","noun"
"بما","ما","O","pron_rel"
"ضرب","ضَرْب","O","noun"
"في","فِي","O","prep"
"أيامه","يَوْم","O","noun"
"؛","؛","O","punc"
"و+_حج","حَجّ","O","noun"
"في","فِي","O","prep"
"أيامه","يَوْم","O","noun"
"أيضا","أَيْض","O","noun"
"و+_زار","زار","O","verb"
"بيت","بَيْت","B-LOC","noun_prop"
"المقدس","مُقَدَّس","I-LOC","adj"
"و+_دخل","دَخَل","O","verb"
"الشام","شام","B-LOC","noun_prop"
"،","،","O","punc"
"و+_اتفق","ٱِتَّفَق","O","verb"
"أن","أَنَّ","O","conj_sub"
"المؤيد","مُؤَيِّد","O","noun"
"و+_هو","هُوَ","O","pron"
"نظام","نِظام","O","noun"
"قال","قال","O","verb"
"له","لِ","O","prep"
":",":","O","punc"
"ما","ما","O","pron_rel"
"فعل","فِعْل","O","noun"
"صهرك","صِهْر","O","noun"
"يعني","عَنَى","O","verb"
"الخليفة","خَلِيفَة","O","noun"
"ثم","ثُمَّ","O","adv"
"كرر","كَرَّر","O","verb"
"ذلك","ذٰلِكَ","O","pron_dem"
"مرة","مَرَّة","O","noun"
"بعد","بُعْد","O","noun"
"أخرى","أُخْرَى","O","adj"
"ف+_قال","قال","O","verb"
"له","لِ","O","prep"
":",":","O","punc"
"أخت","أُخْت","O","noun"
"زوجته","زَوْجَة","O","noun"
"طالق","طالِق","O","adj"
"ثلاثا","ثَلاث","O","adj"
"ف+_عد","عَدّ","O","verb"
"ذلك","ذٰلِكَ","O","pron_dem"
"من","مِن","O","prep"
"و+_فور","فَوْر","O","noun"
"عقله","عَقْل","O","noun"
"ل+_يزيل","أَزال","O","verb"
"تخيله","تَخَيُّل","O","noun"
".",".","O","punc"
"و+_صاهر","صاهَر","O","verb"
"شيخنا","شَيْخ","O","noun"
"على","عَلَى","O","prep"
"ابنتيه","ٱِبْنَة","O","noun"
"واحدة","واحِد","O","noun"
"بعد","بُعْد","O","noun"
"أخرى","أُخْرَى","O","adj"
"و+_حج","حَجّ","O","noun"
"ب+_الأولي","أَوَّل","O","adj"
"منهما","مِن","O","prep"
"و+_برز","بَرَز","O","verb"
"مع","مَع","O","prep"
"والدها","والِد","O","noun"
"بعد","بُعْد","O","noun"
"انفصال","ٱِنْفِصال","O","noun"
"الركب","رُكْبَة","O","noun"
"ب+_عشرة","عَشَرَة","O","noun"
"أيام","يَوْم","O","noun"
"ف+_أدركا","أَدْرَك","O","verb"
"الركب","رُكْبَة","O","noun"
"ب+_القرب","قُرْب","O","noun"
"من","مِن","O","prep"
"الحوراء","أَحْوَر","B-LOC","noun"
".",".","O","punc"
"و+_لم","لَم","O","part_neg"
"يزل","زال","O","verb"
"يترقى","تَرَقَّى","O","verb"
"حتى","حَتَّى","O","prep"
"استقر","ٱِسْتَقَرّ","O","verb"
"في","فِي","O","prep"
"كتابة","كِتابَة","O","noun"
"السر","سِرّ","O","noun"
"ب+_الديار","دار","O","noun"
"المصرية","مِصْرِيّ","O","adj"
"في","فِي","O","prep"
"رجب","رَجَب","O","noun_prop"
"سنة","سَنَة","O","noun"
"تسع","تِسْع","O","adj_num"
"و+_ثلاثين","ثَلاث","O","adj_num"
"بعد","بُعْد","O","noun"
"صرف","صَرْف","O","noun"
"ابن","ٱِبْن","B-PERS","noun_prop"
"البارزي","البارزي","I-PERS","noun_prop"
"و+_رغب","رَغِب","O","verb"
"حينئذ","حِينَئِذٍ","O","adv"
"ل+_أكبر","أَكْبَر","O","noun_prop"
"أولاده","وَلَد","O","noun"
"أحمد","أَحْمَد","B-PERS","noun_prop"
"عن","عَن","O","prep"
"مشيخة","مَشْيَخَة","O","noun"
"الخانقاه","الخانقاه","B-LOC","noun_prop"
"السرياقوسية","السرياقوسيه","I-LOC","noun_prop"
"ثم","ثُمَّ","O","adv"
"أستعفي","ٱِسْتَعْفَى","O","verb"
"عن","عَن","O","prep"
"كتابة","كِتابَة","O","noun"
"السر","سِرّ","O","noun"
"في","فِي","O","prep"
"التي","الَّذِي","O","pron_rel"
"تليها","وَلِي","O","verb"
"و+_أعطاه","أَعْطَى","O","verb"
"السلطان","سُلْطان","O","noun"
"نظر","نَظَر","O","noun"
"الخانقاه","الخانقاه","O","noun_prop"
"مع","مَع","O","prep"
"نظر","نَظَر","O","noun"
"جامعة","جامِعَة","O","noun"
"هناك","هُناكَ","O","adv"
"و+_لبس","لَبْس","O","noun"
"لهما","لِ","O","prep"
"كامليه","كامِل","O","adj"
"،","،","O","punc"
"ثم","ثُمَّ","O","adv"
"في","فِي","O","prep"
"ربيع","رَبِيع","O","noun_prop"
"الثاني","ثانِي","O","noun_prop"
"سنة","سَنَة","O","noun"
"ٱثنتين","ٱِثْنَتانِ","O","adj_num"
"و+_أربعين","أَرْبَع","O","adj_num"
"استقر","ٱِسْتَقَرّ","O","verb"
"في","فِي","O","prep"
"نظر","نَظَر","O","noun"
"البيمارستان","بِيمارِسْتان","O","noun"
"بعد","بُعْد","O","noun"
"وفاة","وَفاة","O","noun"
"النور","نُور","B-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"مفلح","مُفْلِح","I-PERS","noun_prop"
"و+_كان","كان","O","verb"
"ينوب","ناب","O","verb"
"عن","عَن","O","prep"
"المحب","مُحِبّ","O","noun"
"فيه","فِي","O","prep"
"إخوة","إِخْوَة","O","noun"
"البدر","بَدْر","B-PERS","noun"
"حسين","حُسَيْن","I-PERS","noun_prop"
"،","،","O","punc"
"ثم","ثُمَّ","O","adv"
"في","فِي","O","prep"
"أول","أَوَّل","O","adj"
"أيام","يَوْم","O","noun"
"الظاهر","ظاهِر","B-PERS","noun_prop"
"جقمق","جقمق","I-PERS","noun_prop"
"استقر","ٱِسْتَقَرّ","O","verb"
"في","فِي","O","prep"
"نظر","نَظَر","O","noun"
"الجيش","جَيْش","O","noun"
"عوضا","عِوَض","O","noun"
"عن","عَن","O","prep"
"الزيني","الزيني","B-PERS","noun_prop"
"عبد","عَبْد","I-PERS","noun_prop"
"الباسط","باسِط","I-PERS","noun_prop"
"ثم","ثُمَّ","O","adv"
"أنفصل","ٱِنْفَصَل","O","verb"
"عنه","عَن","O","prep"
"و+_هو","هُوَ","O","pron"
"غائب","غائِب","O","adj"
"في","فِي","O","prep"
"الحج","حَجّ","O","noun"
"في","فِي","O","prep"
"سلخ","سَلْخ","O","noun"
"ذي","ذُو","O","noun_prop"
"القعدة","قَعْدَة","O","noun_prop"
"سنة","سَنَة","O","noun"
"ست","سِتّ","O","adj_num"
"و+_أربعين","أَرْبَع","O","adj_num"
"ثم","ثُمَّ","O","adv"
"أعيد","أَعاد","O","verb"
"إليه","إِلَى","O","prep"
"في","فِي","O","prep"
"شوال","شُوال","O","noun_prop"
"التي","الَّذِي","O","pron_rel"
"بعدها","بُعْد","O","noun"
"ثم","ثُمَّ","O","adv"
"صرف","صَرْف","O","noun"
"عن","عَن","O","prep"
"البيمارستان","بِيمارِسْتان","O","noun"
"في","فِي","O","prep"
"ربيع","رَبِيع","O","noun_prop"
"الآخر","آخَر","O","noun_prop"
"سنة","سَنَة","O","noun"
"خمسين","خَمْس","O","adj_num"
"ثم","ثُمَّ","O","adv"
"عن","عَن","O","prep"
"الخانقاه","الخانقاه","O","noun_prop"
"نظر","نَظَر","O","noun"
"إ","إِ","O","abbrev"
"و+_مشيخة","مَشْيَخَة","O","noun"
"ثم","ثُمَّ","O","adv"
"عن","عَن","O","prep"
"نظر","نَظَر","O","noun"
"الجيش","جَيْش","O","noun"
"،","،","O","punc"
"و+_أعيد","أَعاد","O","verb"
"ل+_كتابة","كِتابَة","O","noun"
"السر","سِرّ","O","noun"
"مرة","مَرَّة","O","noun"
"بعد","بُعْد","O","noun"
"أخرى","أُخْرَى","O","adj"
"و+_كذا","كَذا","O","conj"
"إلى","إِلَى","O","prep"
"الخانقاه","الخانقاه","O","noun_prop"
"نظر","نَظَر","O","noun"
"إ","إِ","O","abbrev"
"و+_مشيخة","مَشْيَخَة","O","noun"
"وال","والِي","O","noun"
"أمره","أَمْر","O","noun"
"إلى","إِلَى","O","prep"
"أن","أَنَّ","O","conj_sub"
"لزم","لَزِم","O","verb"
"بيته","بَيْت","O","noun"
"على","عَلَى","O","prep"
"نظر","نَظَر","O","noun"
"الخانقاه","الخانقاه","O","noun_prop"
"فقط","فَقَط","O","adv"
"حتى","حَتَّى","O","prep"
"مات","مات","O","verb"
"في","فِي","O","prep"
"يوم","يَوْم","O","noun"
"الثلاثاء","ثُلاثاء","O","noun_num"
"ثاني","ثانِي","O","noun_num"
"عشر","عَشَرَة","O","noun_num"
"رجب","رَجَب","O","noun_prop"
"سنة","سَنَة","O","noun"
"ثلاث","ثَلاث","O","noun_num"
"و+_ستين","سِتّ","O","noun_num"
"و+_دفن","دَفَن","O","verb"
"ب+_تربة","تُرْبَة","O","noun"
"تجاه","تُجاهَ","O","prep"
"الناصرية","ناصِرِيّ","B-LOC","noun_prop"
"فرج","فَرَج","I-LOC","noun_prop"
"ب+_رقوق","رَقّ","I-LOC","noun_prop"
"بعد","بُعْد","O","noun"
"أن","أَنَّ","O","conj_sub"
"أثكل","ثَكِل","O","verb"
"ابنا","ٱِبْن","O","noun"
"له","لِ","O","prep"
"كان","كان","O","verb"
"أعز","عَزا","O","verb"
"عنده","عِنْد","O","noun"
"من","مِن","O","prep"
"سائر","سائِر","O","adj"
"أولاده","وَلَد","O","noun"
"عوضهما","عَوَّض","O","verb"
"االله","االله","B-MISC","noun_prop"
"الجنة","جَنَّة","O","noun"
"و+_رحمة","رَحْمَة","O","noun"
"و+_إيانا","إِيّا","O","part"
".",".","O","punc"
"و+_كان","كان","O","verb"
"رئيسا","رَئِيس","O","noun"
"دينا","دِينا","O","noun_prop"
"معظما","مُعَظَّم","O","adj"
"في","فِي","O","prep"
"الدول","دَوْلَة","O","noun"
"مع","مَع","O","prep"
"السكون","سُكُون","O","noun"
"و+_العقل","عَقْل","O","noun"
"و+_الحشمة","حِشْمَة","O","noun"
"و+_الوقار","وَقار","O","noun"
"و+_الاحتمال","ٱِحْتِمال","O","noun"
"و+_المداراة","مُداراة","O","noun"
"،","،","O","punc"
"موصوفا","مَوْصُوف","O","noun"
"ب+_الإمساك","إِمْساك","O","noun"
"مع","مَع","O","prep"
"الثروة","ثَرْوَة","O","noun"
"و+_ب+_قلة","قِلَّة","O","noun"
"البضاعة","بِضاعَة","O","noun"
"في","فِي","O","prep"
"العلم","عِلْم","O","noun"
"مع","مَع","O","prep"
"اشتغاله","ٱِشْتِغال","O","noun"
"حتى","حَتَّى","O","prep"
"بعد","بُعْد","O","noun"
"رياسته","رِئاسَة","O","noun"
"على","عَلَى","O","prep"
"الأئمة","إِمام","O","noun"
"ممن","مِن","O","prep"
"كان","كان","O","verb"
"يستدعي","ٱِسْتَدْعَى","O","verb"
"بهم","بِ","O","prep"
"عنده","عِنْد","O","noun"
"كالبساطي","كالبساطي","B-PERS","noun_prop"
"قبل","قِبَل","O","noun"
"دخوله","دُخُول","O","noun"
"في","فِي","O","prep"
"القضاء","قَضاء","O","noun"
"والشرواني","والشرواني","B-LOC","noun_prop"
"بل","بَل","O","conj"
"أسكنه","سَكَّن","O","verb"
