"tokens","lemmas","ne_labels","pos"
"الخير","خَيْر","O","noun"
"و+_قررت","قَرَّر","O","verb"
"في","فِي","O","prep"
"مدرسة","مَدْرَسَة","O","noun"
"جدها","جَدّ","O","noun"
"عند","عِنْد","O","noun"
"قبره","قَبْر","O","noun"
"و+_أبيها","أَب","O","noun"
"قراء","قارِئ","O","noun"
"في","فِي","O","prep"
"كل","كُلّ","O","noun"
"يوم","يَوْم","O","noun"
"و+_قامت","قام","O","verb"
"ب+_أمر","أَمْر","O","noun"
"المدرسة","مَدْرَسَة","O","noun"
"و+_ب+_تفقد","تَفَقُّد","O","noun"
"الأمراء","أَمِير","O","noun"
"و+_الأرامل","أَرْمَلَة","O","noun"
"و+_تزايد","تَزايُد","O","noun"
"ذلك","ذٰلِكَ","O","pron_dem"
"بعد","بُعْد","O","noun"
"موت","مَوْت","O","noun"
"ولدها","وَلَد","O","noun"
"المشار","مُشار","O","adj"
"إليه","إِلَى","O","prep"
"حتى","حَتَّى","O","prep"
"صارت","صار","O","verb"
"فريدة","فَرِيد","O","adj"
"في","فِي","O","prep"
"أقربائها","قَرِيب","O","noun"
"و+_أمثالها","مَثَل","O","noun"
"و+_رتبت","رَتَّب","O","verb"
"قراء","قارِئ","O","noun"
"يقوءون","يقوءون","O","noun_prop"
"عندها","عِنْد","O","noun"
"الحديث","حَدِيث","O","noun"
"و+_التفسير","تَفْسِير","O","noun"
"و+_تردد","تَرَدَّد","O","verb"
"إليها","إِلَى","O","prep"
"في","فِي","O","prep"
"ذلك","ذٰلِكَ","O","pron_dem"
"إبراهيم","إِبْراهِيم","B-PERS","noun_prop"
"الحموي","حَمَوِيّ","I-PERS","noun_prop"
"و+_عقد","عَقَد","O","verb"
"الميعاد","مِيعاد","O","noun"
"عندها","عِنْد","O","noun"
"و+_الفخر","فَخْر","B-PERS","noun_prop"
"الديمى","الديمي","I-PERS","noun_prop"
"و+_يأس","يَأْس","B-PERS","noun_prop"
"البلبيسى","البلبيسي","I-PERS","noun_prop"
"و+_ابن","ٱِبْن","B-PERS","noun_prop"
"خليل","خَلِيل","I-PERS","noun_prop"
"الحسيني","حُسَيْنِيّ","I-PERS","noun_prop"
"و+_آخرون","آخَر","O","adj"
"ممن","مِن","O","prep"
"يليهم","وَلِي","O","verb"
"،","،","O","punc"
"و+_حجت","حَجا","O","verb"
"غير","غَيْر","O","noun"
"مرة","مَرَّة","O","noun"
"و+_جاورت","جاوَر","O","verb"
"و+_مآت","مَأْتَى","O","noun"
"زوجها","زَوْج","O","noun"
"ف+_ورثته","وَرِث","O","verb"
"ثم","ثُمَّ","O","adv"
"ماتت","مات","O","verb"
"ابنتها","ٱِبْنَة","O","noun"
"ست","سِتّ","B-PERS","noun_prop"
"الخلفاء","خَلِيفَة","I-PERS","noun_prop"
"ف+_تزايد","تَزايُد","O","noun"
"إقبالها","إِقْبال","O","noun"
"على","عَلَى","O","prep"
"الخيرات","خَيِّر","O","adj"
"بل","بَل","O","conj"
"أقرضت","أَقْرَض","O","verb"
"البدر","بَدْر","B-PERS","noun_prop"
"ابن","ٱِبْن","O","noun"
"أخيها","أَخ","O","noun"
"مبلغا","مَبْلَغ","O","noun"
"كبيرا","كَبِير","O","adj"
"بذله","بَذْل","O","noun"
"في","فِي","O","prep"
"الوظائف","وَظِيفَة","O","noun"
"بعد","بُعْد","O","noun"
"موت","مَوْت","O","noun"
"أبيها","أَب","O","noun"
"هذا","هٰذا","O","pron_dem"
"كله","كُلّ","O","noun"
"و+_الضعف","ضُعْف","O","noun"
"ملازمها","مُلازِم","O","noun"
"مع","مَع","O","prep"
"طرف","طَرَف","O","noun"
"فالج","فالِج","O","noun"
"و+_لا","لا","O","part_neg"
"أحمد","أَحْمَد","O","noun_prop"
"كثيرا","كَثِير","O","adv"
"من","مِن","O","prep"
"تصرفاتها","تَصَرُّف","O","noun"
"خصوصا","خُصُوص","O","noun"
"فيما","ما","O","conj_sub"
"يتعلق","تَعَلَّق","O","verb"
"ب+_الأيتام","يَتِيم","O","noun"
"و+_قد","قَدْ","O","part_verb"
"مات","مات","O","verb"
"بنو","بَنُون","O","noun"
"ولدها","وَلَد","O","noun"
"و+_أنقطع","ٱِنْقَطَع","O","verb"
"نسله","نَسْل","O","noun"
"و+_الله","اللَّه","B-MISC","noun_prop"
"يحسن","حَسَّن","O","verb"
"عاقبتها","عاقَب","O","verb"
".",".","O","punc"
